Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY 50,09-NOV-2015,21.41,3.18,1.44
NIFTY 50,10-NOV-2015,21.05,3.13,1.46
NIFTY 50,11-NOV-2015,21.17,3.14,1.45
NIFTY 50,13-NOV-2015,20.97,3.12,1.47
NIFTY 50,16-NOV-2015,21.11,3.14,1.46
NIFTY 50,17-NOV-2015,21.19,3.15,1.45
NIFTY 50,18-NOV-2015,20.9,3.11,1.47
NIFTY 50,19-NOV-2015,21.2,3.15,1.45
NIFTY 50,20-NOV-2015,21.24,3.16,1.45
NIFTY 50,23-NOV-2015,21.22,3.15,1.45
NIFTY 50,24-NOV-2015,21.17,3.15,1.45
NIFTY 50,26-NOV-2015,21.31,3.17,1.44
NIFTY 50,27-NOV-2015,21.47,3.19,1.43
NIFTY 50,30-NOV-2015,21.45,3.19,1.43
NIFTY 50,01-DEC-2015,21.51,3.19,1.43
NIFTY 50,02-DEC-2015,21.44,3.19,1.44
NIFTY 50,03-DEC-2015,21.26,3.16,1.45
NIFTY 50,04-DEC-2015,21.04,3.13,1.46
NIFTY 50,07-DEC-2015,20.99,3.12,1.47
NIFTY 50,08-DEC-2015,20.82,3.09,1.48
NIFTY 50,09-DEC-2015,20.58,3.06,1.5
NIFTY 50,10-DEC-2015,20.77,3.09,1.48
NIFTY 50,11-DEC-2015,20.57,3.05,1.52
NIFTY 50,14-DEC-2015,20.69,3.07,1.51
NIFTY 50,15-DEC-2015,20.82,3.09,1.5
NIFTY 50,15-DEC-2015,20.82,3.09,1.5
NIFTY 50,16-DEC-2015,20.96,3.11,1.49
NIFTY 50,17-DEC-2015,21.21,3.15,1.47
NIFTY 50,18-DEC-2015,20.99,3.11,1.49
NIFTY 50,21-DEC-2015,21.19,3.14,1.48
NIFTY 50,22-DEC-2015,21.06,3.12,1.49
NIFTY 50,23-DEC-2015,21.27,3.15,1.47
NIFTY 50,24-DEC-2015,21.26,3.15,1.47
NIFTY 50,28-DEC-2015,21.43,3.18,1.46
NIFTY 50,29-DEC-2015,21.44,3.18,1.46
NIFTY 50,30-DEC-2015,21.35,3.17,1.46
NIFTY 50,31-DEC-2015,21.49,3.19,1.46
