Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY AUTO,03-JAN-2022,61.7,4.62,1.1
NIFTY AUTO,04-JAN-2022,61.84,4.63,1.1
NIFTY AUTO,05-JAN-2022,62.49,4.68,1.09
NIFTY AUTO,06-JAN-2022,62.82,4.71,1.08
NIFTY AUTO,07-JAN-2022,62.68,4.7,1.09
NIFTY AUTO,10-JAN-2022,63.85,4.78,1.07
NIFTY AUTO,11-JAN-2022,63.73,4.78,1.07
NIFTY AUTO,12-JAN-2022,64.65,4.84,1.05
NIFTY AUTO,13-JAN-2022,64.87,4.86,1.05
NIFTY AUTO,14-JAN-2022,64.63,4.84,1.05
NIFTY AUTO,17-JAN-2022,65.95,4.94,1.03
NIFTY AUTO,18-JAN-2022,64.39,4.82,1.06
NIFTY AUTO,19-JAN-2022,64.84,4.86,1.05
NIFTY AUTO,20-JAN-2022,64.3,4.82,1.06
NIFTY AUTO,21-JAN-2022,65.19,4.81,1.06
NIFTY AUTO,24-JAN-2022,63.5,4.68,1.09
NIFTY AUTO,25-JAN-2022,64.97,4.79,1.06
NIFTY AUTO,27-JAN-2022,65.19,4.81,1.06
NIFTY AUTO,28-JAN-2022,68.31,4.78,1.07
NIFTY AUTO,31-JAN-2022,69.55,4.87,1.05
NIFTY AUTO,01-FEB-2022,69.04,4.83,1.05
NIFTY AUTO,02-FEB-2022,94.14,4.84,1.05
NIFTY AUTO,03-FEB-2022,94.55,4.86,1.05
NIFTY AUTO,04-FEB-2022,93.56,4.81,1.03
NIFTY AUTO,07-FEB-2022,92.32,4.75,1.07
NIFTY AUTO,08-FEB-2022,92.5,4.75,1.06
NIFTY AUTO,09-FEB-2022,92.6,4.86,1.04
NIFTY AUTO,10-FEB-2022,92.55,4.86,1.04
NIFTY AUTO,11-FEB-2022,91.36,4.81,1.05
NIFTY AUTO,14-FEB-2022,73.29,4.62,1.09
NIFTY AUTO,15-FEB-2022,79.44,4.81,0.87
NIFTY AUTO,16-FEB-2022,79.53,4.79,0.88
NIFTY AUTO,17-FEB-2022,79.42,4.78,0.88
NIFTY AUTO,18-FEB-2022,78.92,4.75,0.89
NIFTY AUTO,21-FEB-2022,78.51,4.73,1.07
NIFTY AUTO,22-FEB-2022,78.38,4.72,1.06
NIFTY AUTO,23-FEB-2022,78.21,4.71,1.07
NIFTY AUTO,24-FEB-2022,73.32,4.41,1.14
NIFTY AUTO,25-FEB-2022,75.29,4.53,1.1
NIFTY AUTO,28-FEB-2022,74.77,4.5,1.11
NIFTY AUTO,02-MAR-2022,72.56,4.37,1.14
NIFTY AUTO,03-MAR-2022,70.91,4.27,1.17
NIFTY AUTO,04-MAR-2022,68.39,4.12,1.21
NIFTY AUTO,07-MAR-2022,65.51,3.94,1.26
NIFTY AUTO,08-MAR-2022,66.06,3.98,1.25
NIFTY AUTO,09-MAR-2022,67.94,4.09,1.22
NIFTY AUTO,10-MAR-2022,69.24,4.17,1.19
NIFTY AUTO,11-MAR-2022,68.96,4.15,1.2
NIFTY AUTO,14-MAR-2022,69.62,4.19,1.19
NIFTY AUTO,15-MAR-2022,70.01,4.21,1.18
NIFTY AUTO,16-MAR-2022,71.52,4.31,1.16
NIFTY AUTO,17-MAR-2022,73.08,4.4,1.13
NIFTY AUTO,21-MAR-2022,72.2,4.35,1.14
NIFTY AUTO,22-MAR-2022,73.06,4.4,1.13
NIFTY AUTO,23-MAR-2022,72.3,4.35,1.14
NIFTY AUTO,24-MAR-2022,71.95,4.33,1.15
NIFTY AUTO,25-MAR-2022,71.55,4.31,1.17
NIFTY AUTO,28-MAR-2022,72.02,4.34,1.16
NIFTY AUTO,29-MAR-2022,71.98,4.33,1.17
NIFTY AUTO,30-MAR-2022,72.85,4.39,1.15
NIFTY AUTO,31-MAR-2022,77.31,4.62,1.09
NIFTY AUTO,01-APR-2022,78.23,4.68,1.08
NIFTY AUTO,04-APR-2022,79.16,4.73,1.07
NIFTY AUTO,05-APR-2022,80.13,4.79,1.05
NIFTY AUTO,06-APR-2022,79.91,4.78,1.06
NIFTY AUTO,07-APR-2022,79.28,4.74,1.06
NIFTY AUTO,08-APR-2022,79.82,4.77,1.06
NIFTY AUTO,11-APR-2022,79.73,4.77,1.06
NIFTY AUTO,12-APR-2022,79.05,4.73,1.07
NIFTY AUTO,13-APR-2022,78.38,4.69,1.08
NIFTY AUTO,18-APR-2022,78.73,4.71,1.07
NIFTY AUTO,19-APR-2022,77.77,4.65,1.08
NIFTY AUTO,20-APR-2022,79.49,4.75,1.06
NIFTY AUTO,21-APR-2022,81.26,4.86,1.04
NIFTY AUTO,22-APR-2022,80.8,4.83,1.04
NIFTY AUTO,25-APR-2022,79.98,4.78,1.05
NIFTY AUTO,26-APR-2022,82.22,4.92,1.03
NIFTY AUTO,27-APR-2022,81.76,4.89,1.03
NIFTY AUTO,28-APR-2022,82,4.9,1.03
NIFTY AUTO,29-APR-2022,81.31,4.85,1.04
NIFTY AUTO,02-MAY-2022,80.28,4.79,1.05
NIFTY AUTO,04-MAY-2022,75,4.67,1.08
NIFTY AUTO,05-MAY-2022,75.32,4.69,1.08
NIFTY AUTO,06-MAY-2022,74,4.61,1.09
NIFTY AUTO,09-MAY-2022,73.76,4.59,1.1
NIFTY AUTO,10-MAY-2022,75.68,4.59,1.1
NIFTY AUTO,11-MAY-2022,74.99,4.55,1.11
NIFTY AUTO,12-MAY-2022,74.38,4.45,1.13
NIFTY AUTO,13-MAY-2022,76.19,4.56,1.11
NIFTY AUTO,16-MAY-2022,52.78,4.67,1.08
NIFTY AUTO,17-MAY-2022,53.88,4.78,1.05
NIFTY AUTO,18-MAY-2022,53.81,4.78,1.06
NIFTY AUTO,19-MAY-2022,52.38,4.65,1.08
NIFTY AUTO,20-MAY-2022,53.84,4.78,1.05
NIFTY AUTO,23-MAY-2022,55.67,4.87,1.04
NIFTY AUTO,24-MAY-2022,55.68,4.87,1.04
NIFTY AUTO,25-MAY-2022,55.16,4.82,1.05
NIFTY AUTO,26-MAY-2022,55.58,4.86,1.04
NIFTY AUTO,27-MAY-2022,56.45,4.94,1.02
NIFTY AUTO,30-MAY-2022,57.56,5.03,1
NIFTY AUTO,31-MAY-2022,53.78,5.08,0.99
NIFTY AUTO,01-JUN-2022,53.67,5.07,1
NIFTY AUTO,02-JUN-2022,53.34,5.03,1
NIFTY AUTO,03-JUN-2022,52.36,4.94,1.02
NIFTY AUTO,06-JUN-2022,52.46,4.95,1.02
NIFTY AUTO,07-JUN-2022,52.74,4.98,1.01
NIFTY AUTO,08-JUN-2022,52.83,4.99,1.01
NIFTY AUTO,09-JUN-2022,53,5,1.01
NIFTY AUTO,10-JUN-2022,52.88,4.99,1.01
NIFTY AUTO,13-JUN-2022,51.82,4.89,1.03
NIFTY AUTO,14-JUN-2022,51.54,4.87,1.04
NIFTY AUTO,15-JUN-2022,52.01,4.91,1.03
NIFTY AUTO,16-JUN-2022,50.85,4.8,1.05
NIFTY AUTO,17-JUN-2022,50.27,4.75,1.06
NIFTY AUTO,20-JUN-2022,49.92,4.71,1.06
NIFTY AUTO,21-JUN-2022,50.94,4.81,1.04
NIFTY AUTO,22-JUN-2022,50.5,4.77,1.05
NIFTY AUTO,23-JUN-2022,52.72,4.98,1.01
NIFTY AUTO,24-JUN-2022,53.76,5.07,0.99
NIFTY AUTO,27-JUN-2022,54.24,5.12,0.98
NIFTY AUTO,28-JUN-2022,54.92,5.18,0.97
NIFTY AUTO,29-JUN-2022,55,5.19,0.97
