Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY BANK,01-JAN-2016,17.81,2.41,1.14
NIFTY BANK,04-JAN-2016,17.35,2.35,1.17
NIFTY BANK,04-JAN-2016,17.35,2.35,1.17
NIFTY BANK,05-JAN-2016,17.29,2.34,1.18
NIFTY BANK,06-JAN-2016,17.18,2.32,1.18
NIFTY BANK,07-JAN-2016,16.8,2.27,1.21
NIFTY BANK,08-JAN-2016,16.87,2.28,1.21
NIFTY BANK,11-JAN-2016,16.75,2.26,1.21
NIFTY BANK,12-JAN-2016,16.45,2.22,1.24
NIFTY BANK,13-JAN-2016,16.6,2.24,1.23
NIFTY BANK,14-JAN-2016,16.32,2.21,1.25
NIFTY BANK,15-JAN-2016,15.9,2.15,1.28
NIFTY BANK,18-JAN-2016,15.71,2.12,1.29
NIFTY BANK,19-JAN-2016,15.93,2.16,1.27
NIFTY BANK,20-JAN-2016,15.58,2.11,1.3
NIFTY BANK,21-JAN-2016,15.75,2.13,1.29
NIFTY BANK,22-JAN-2016,16.09,2.19,1.25
NIFTY BANK,25-JAN-2016,16.15,2.2,1.25
NIFTY BANK,27-JAN-2016,16.12,2.2,1.25
NIFTY BANK,28-JAN-2016,15.96,2.17,1.26
NIFTY BANK,29-JAN-2016,16.11,2.19,1.25
NIFTY BANK,01-FEB-2016,15.84,2.16,1.27
NIFTY BANK,02-FEB-2016,15.55,2.13,1.29
NIFTY BANK,03-FEB-2016,15.31,2.1,1.31
NIFTY BANK,04-FEB-2016,15.34,2.1,1.31
NIFTY BANK,05-FEB-2016,15.64,2.14,1.28
NIFTY BANK,08-FEB-2016,15.53,2.13,1.29
NIFTY BANK,09-FEB-2016,15.35,2.1,1.31
NIFTY BANK,10-FEB-2016,15.05,2.06,1.33
NIFTY BANK,11-FEB-2016,14.58,1.98,1.39
NIFTY BANK,12-FEB-2016,14.52,1.97,1.39
NIFTY BANK,15-FEB-2016,16.01,2.04,1.35
NIFTY BANK,16-FEB-2016,15.7,2,1.37
NIFTY BANK,17-FEB-2016,15.65,2,1.38
NIFTY BANK,18-FEB-2016,15.85,2.02,1.36
NIFTY BANK,19-FEB-2016,15.9,2.03,1.36
NIFTY BANK,22-FEB-2016,15.95,2.03,1.35
NIFTY BANK,23-FEB-2016,15.53,1.98,1.39
NIFTY BANK,24-FEB-2016,15.29,1.95,1.41
NIFTY BANK,25-FEB-2016,15.03,1.92,1.43
NIFTY BANK,26-FEB-2016,15.33,1.94,1.41
NIFTY BANK,29-FEB-2016,15.5,1.96,1.4
NIFTY BANK,01-MAR-2016,16.02,2.03,1.35
NIFTY BANK,02-MAR-2016,16.77,2.13,1.29
NIFTY BANK,03-MAR-2016,16.87,2.14,1.28
NIFTY BANK,04-MAR-2016,17.05,2.16,1.27
NIFTY BANK,08-MAR-2016,16.83,2.13,1.29
NIFTY BANK,09-MAR-2016,16.98,2.15,1.28
NIFTY BANK,10-MAR-2016,16.87,2.14,1.28
NIFTY BANK,11-MAR-2016,16.86,2.14,1.28
NIFTY BANK,14-MAR-2016,16.98,2.15,1.28
NIFTY BANK,15-MAR-2016,17.03,2.16,1.27
NIFTY BANK,16-MAR-2016,17.18,2.18,1.26
NIFTY BANK,17-MAR-2016,17.16,2.17,1.26
NIFTY BANK,18-MAR-2016,17.4,2.2,1.24
NIFTY BANK,21-MAR-2016,17.7,2.24,1.22
NIFTY BANK,22-MAR-2016,17.71,2.24,1.22
NIFTY BANK,23-MAR-2016,17.66,2.24,1.23
NIFTY BANK,28-MAR-2016,17.34,2.2,1.25
NIFTY BANK,29-MAR-2016,17.41,2.21,1.24
