Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY FMCG,01-JAN-2024,46.06,11.88,1.78
NIFTY FMCG,02-JAN-2024,45.99,11.86,1.78
NIFTY FMCG,03-JAN-2024,45.99,11.86,1.78
NIFTY FMCG,04-JAN-2024,46.39,11.96,1.76
NIFTY FMCG,05-JAN-2024,46.36,11.95,1.76
NIFTY FMCG,08-JAN-2024,45.56,11.75,1.79
NIFTY FMCG,09-JAN-2024,45.48,11.73,1.8
NIFTY FMCG,10-JAN-2024,45.3,11.68,1.81
NIFTY FMCG,11-JAN-2024,45.2,11.66,1.81
NIFTY FMCG,12-JAN-2024,45.41,11.71,1.8
NIFTY FMCG,15-JAN-2024,45.64,11.76,1.79
NIFTY FMCG,16-JAN-2024,45.72,11.78,1.79
NIFTY FMCG,17-JAN-2024,45.32,11.67,1.8
NIFTY FMCG,18-JAN-2024,45.08,11.61,1.81
NIFTY FMCG,19-JAN-2024,45.63,11.75,1.79
NIFTY FMCG,20-JAN-2024,45.09,11.61,1.81
NIFTY FMCG,23-JAN-2024,44.27,11.41,1.85
NIFTY FMCG,24-JAN-2024,44.9,11.59,1.82
NIFTY FMCG,25-JAN-2024,44.28,11.46,1.84
NIFTY FMCG,29-JAN-2024,44.22,11.44,1.84
NIFTY FMCG,30-JAN-2024,43.77,11.32,1.86
NIFTY FMCG,31-JAN-2024,43.76,11.43,1.84
NIFTY FMCG,01-FEB-2024,43.88,11.46,1.84
NIFTY FMCG,02-FEB-2024,43.75,11.44,1.84
NIFTY FMCG,05-FEB-2024,43.41,11.35,1.86
NIFTY FMCG,06-FEB-2024,43.34,11.33,1.86
NIFTY FMCG,07-FEB-2024,43.43,11.36,1.85
NIFTY FMCG,08-FEB-2024,42.86,11.13,2.34
NIFTY FMCG,09-FEB-2024,43.09,11.18,2.35
NIFTY FMCG,12-FEB-2024,42.59,11.06,2.37
NIFTY FMCG,13-FEB-2024,42.67,11.09,2.36
NIFTY FMCG,14-FEB-2024,43,11.17,2.34
NIFTY FMCG,15-FEB-2024,42.59,11.06,1.95
NIFTY FMCG,16-FEB-2024,42.74,11.1,1.95
NIFTY FMCG,19-FEB-2024,43.08,11.19,1.93
NIFTY FMCG,20-FEB-2024,43.03,11.18,1.93
NIFTY FMCG,21-FEB-2024,43.04,11.18,1.93
NIFTY FMCG,22-FEB-2024,43.46,11.29,1.92
NIFTY FMCG,23-FEB-2024,43.4,11.27,1.92
NIFTY FMCG,26-FEB-2024,43.38,11.27,1.92
NIFTY FMCG,27-FEB-2024,43.37,11.27,1.92
NIFTY FMCG,28-FEB-2024,42.99,11.17,1.94
NIFTY FMCG,29-FEB-2024,43.14,11.21,1.93
NIFTY FMCG,01-MAR-2024,43.31,11.25,1.92
NIFTY FMCG,02-MAR-2024,43.5,11.3,1.91
NIFTY FMCG,04-MAR-2024,43.31,11.25,1.92
NIFTY FMCG,05-MAR-2024,42.85,11.13,1.94
NIFTY FMCG,06-MAR-2024,43.03,11.18,1.97
NIFTY FMCG,07-MAR-2024,43.45,11.29,1.95
NIFTY FMCG,11-MAR-2024,43.2,11.22,1.94
NIFTY FMCG,12-MAR-2024,42.84,11.13,1.95
NIFTY FMCG,13-MAR-2024,42.86,11.13,1.95
NIFTY FMCG,14-MAR-2024,43.24,11.23,1.94
NIFTY FMCG,15-MAR-2024,43.25,11.24,1.94
NIFTY FMCG,18-MAR-2024,43.05,11.18,1.94
NIFTY FMCG,19-MAR-2024,42.12,10.94,1.99
NIFTY FMCG,20-MAR-2024,42.32,11,1.98
NIFTY FMCG,21-MAR-2024,42.6,11.07,1.96
NIFTY FMCG,22-MAR-2024,42.95,11.16,1.95
NIFTY FMCG,26-MAR-2024,42.88,11.14,1.95
NIFTY FMCG,27-MAR-2024,42.76,11.11,1.96
NIFTY FMCG,28-MAR-2024,42.27,10.98,1.98
NIFTY FMCG,01-APR-2024,42.22,10.97,1.98
NIFTY FMCG,02-APR-2024,42.39,11.01,1.97
NIFTY FMCG,03-APR-2024,42.21,10.96,1.98
NIFTY FMCG,04-APR-2024,42.02,10.91,2
NIFTY FMCG,05-APR-2024,42.25,10.97,1.99
NIFTY FMCG,08-APR-2024,42.28,10.98,1.99
NIFTY FMCG,09-APR-2024,42.02,10.91,2
NIFTY FMCG,10-APR-2024,42.54,11.05,1.97
NIFTY FMCG,12-APR-2024,42.08,10.93,1.99
NIFTY FMCG,15-APR-2024,41.66,10.82,1.93
NIFTY FMCG,16-APR-2024,41.84,10.87,1.92
NIFTY FMCG,18-APR-2024,41.39,10.75,1.94
NIFTY FMCG,19-APR-2024,41.57,10.8,1.94
NIFTY FMCG,22-APR-2024,41.92,10.89,1.88
NIFTY FMCG,23-APR-2024,42.24,10.97,1.87
NIFTY FMCG,24-APR-2024,42.26,10.97,1.87
NIFTY FMCG,25-APR-2024,42.63,10.97,1.86
NIFTY FMCG,26-APR-2024,42.66,10.96,1.86
NIFTY FMCG,29-APR-2024,42.56,10.97,1.86
NIFTY FMCG,30-APR-2024,42.49,10.95,1.86
NIFTY FMCG,02-MAY-2024,42.69,11,1.85
NIFTY FMCG,03-MAY-2024,42.52,10.96,1.86
NIFTY FMCG,06-MAY-2024,42.8,11.04,1.84
NIFTY FMCG,07-MAY-2024,43.68,11.26,1.81
NIFTY FMCG,08-MAY-2024,45.44,11.31,1.8
NIFTY FMCG,09-MAY-2024,44.28,11.03,1.85
NIFTY FMCG,10-MAY-2024,44.8,11.16,1.82
NIFTY FMCG,13-MAY-2024,44.86,11.17,1.82
NIFTY FMCG,14-MAY-2024,44.62,11.12,1.87
NIFTY FMCG,15-MAY-2024,44.15,11.01,1.88
NIFTY FMCG,16-MAY-2024,44.43,11.1,1.87
NIFTY FMCG,17-MAY-2024,44.49,11.12,1.87
NIFTY FMCG,18-MAY-2024,44.61,11.15,1.86
NIFTY FMCG,21-MAY-2024,44.41,11.1,1.8
NIFTY FMCG,22-MAY-2024,45.1,11.26,1.81
NIFTY FMCG,23-MAY-2024,45.22,11.29,1.81
NIFTY FMCG,24-MAY-2024,44.85,11.2,1.87
NIFTY FMCG,27-MAY-2024,44.76,11.16,1.88
NIFTY FMCG,28-MAY-2024,44.67,11.16,1.87
NIFTY FMCG,29-MAY-2024,44.43,11.1,1.88
NIFTY FMCG,30-MAY-2024,43.87,10.96,1.19
NIFTY FMCG,31-MAY-2024,43.73,10.92,1.19
NIFTY FMCG,03-JUN-2024,44.17,11.03,1.18
NIFTY FMCG,04-JUN-2024,44.59,11.14,1.73
NIFTY FMCG,05-JUN-2024,46.52,11.62,1.66
NIFTY FMCG,06-JUN-2024,46.37,11.58,1.67
NIFTY FMCG,07-JUN-2024,46.84,11.7,1.65
NIFTY FMCG,10-JUN-2024,46.87,11.71,1.65
NIFTY FMCG,11-JUN-2024,46.71,11.67,1.65
NIFTY FMCG,12-JUN-2024,46.47,11.61,1.66
NIFTY FMCG,13-JUN-2024,46.16,11.53,1.67
NIFTY FMCG,14-JUN-2024,46.25,11.55,1.86
NIFTY FMCG,18-JUN-2024,46.2,11.54,1.86
