Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY IT,01-JAN-2019,20.01,4.95,1.48
NIFTY IT,02-JAN-2019,20.01,4.95,1.48
NIFTY IT,03-JAN-2019,19.84,4.91,1.49
NIFTY IT,04-JAN-2019,19.59,4.85,1.51
NIFTY IT,07-JAN-2019,19.79,4.9,1.5
NIFTY IT,08-JAN-2019,19.79,4.89,1.5
NIFTY IT,09-JAN-2019,19.84,4.91,1.49
NIFTY IT,10-JAN-2019,19.84,4.91,1.49
NIFTY IT,11-JAN-2019,19.82,4.9,1.49
NIFTY IT,14-JAN-2019,19.51,4.87,1.5
NIFTY IT,15-JAN-2019,20.11,5.02,1.46
NIFTY IT,16-JAN-2019,20.17,5.04,1.45
NIFTY IT,17-JAN-2019,20.3,5.07,1.44
NIFTY IT,18-JAN-2019,20.43,5.1,1.43
NIFTY IT,21-JAN-2019,20.31,5.13,1.43
NIFTY IT,22-JAN-2019,21.19,5.13,1.43
NIFTY IT,23-JAN-2019,21.09,5.1,1.44
NIFTY IT,24-JAN-2019,21.21,5.13,1.43
NIFTY IT,25-JAN-2019,21.3,5.15,1.42
NIFTY IT,28-JAN-2019,21.42,5.18,1.41
NIFTY IT,29-JAN-2019,21.57,5.22,1.4
NIFTY IT,30-JAN-2019,21.61,5.23,1.4
NIFTY IT,31-JAN-2019,21.95,5.31,1.38
NIFTY IT,01-FEB-2019,22.27,5.39,1.36
NIFTY IT,04-FEB-2019,22.31,5.4,1.36
NIFTY IT,05-FEB-2019,22.29,5.39,1.36
NIFTY IT,06-FEB-2019,22.74,5.5,1.33
NIFTY IT,07-FEB-2019,22.78,5.51,1.33
NIFTY IT,08-FEB-2019,22.69,5.49,1.33
NIFTY IT,11-FEB-2019,22.8,5.51,1.33
NIFTY IT,12-FEB-2019,22.62,5.46,1.34
NIFTY IT,13-FEB-2019,22.76,5.5,1.33
NIFTY IT,14-FEB-2019,22.51,5.43,1.35
NIFTY IT,15-FEB-2019,22.44,5.42,1.35
NIFTY IT,18-FEB-2019,22.22,5.36,1.36
NIFTY IT,19-FEB-2019,21.76,5.25,1.39
NIFTY IT,20-FEB-2019,22.15,5.35,1.37
NIFTY IT,21-FEB-2019,22.12,5.34,1.37
NIFTY IT,22-FEB-2019,22.26,5.37,1.36
NIFTY IT,25-FEB-2019,22.71,5.48,1.34
NIFTY IT,26-FEB-2019,22.67,5.48,1.34
NIFTY IT,27-FEB-2019,22.55,5.45,1.34
NIFTY IT,28-FEB-2019,22.31,5.39,1.36
NIFTY IT,01-MAR-2019,22.47,5.43,1.35
NIFTY IT,05-MAR-2019,22.21,5.37,1.36
NIFTY IT,06-MAR-2019,22.31,5.39,1.36
NIFTY IT,07-MAR-2019,22.1,5.34,1.37
