Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY METAL,02-JAN-2023,10.61,2.24,3.8
NIFTY METAL,03-JAN-2023,10.56,2.23,3.82
NIFTY METAL,04-JAN-2023,10.33,2.18,3.91
NIFTY METAL,05-JAN-2023,10.42,2.2,3.88
NIFTY METAL,06-JAN-2023,10.32,2.18,3.91
NIFTY METAL,09-JAN-2023,10.47,2.21,3.86
NIFTY METAL,10-JAN-2023,10.39,2.2,3.89
NIFTY METAL,11-JAN-2023,10.47,2.21,3.86
NIFTY METAL,12-JAN-2023,10.45,2.21,3.86
NIFTY METAL,13-JAN-2023,10.59,2.24,3.81
NIFTY METAL,16-JAN-2023,10.45,2.21,3.86
NIFTY METAL,17-JAN-2023,10.47,2.21,3.86
NIFTY METAL,18-JAN-2023,10.64,2.25,3.79
NIFTY METAL,19-JAN-2023,10.58,2.24,3.82
NIFTY METAL,20-JAN-2023,10.49,2.22,3.85
NIFTY METAL,23-JAN-2023,10.84,2.21,3.87
NIFTY METAL,24-JAN-2023,10.75,2.19,3.9
NIFTY METAL,25-JAN-2023,10.73,2.18,3.93
NIFTY METAL,27-JAN-2023,10.23,2.08,4.12
NIFTY METAL,30-JAN-2023,10.36,2.07,4.21
NIFTY METAL,31-JAN-2023,10.51,2.11,4.15
NIFTY METAL,01-FEB-2023,10.04,2.01,4.34
NIFTY METAL,02-FEB-2023,9.7,1.92,4.54
NIFTY METAL,03-FEB-2023,9.66,1.91,4.91
NIFTY METAL,06-FEB-2023,9.45,1.87,5.02
NIFTY METAL,07-FEB-2023,9.42,1.87,5.04
NIFTY METAL,08-FEB-2023,12.12,1.94,4.86
NIFTY METAL,09-FEB-2023,11.93,1.91,4.94
NIFTY METAL,10-FEB-2023,11.71,1.87,5.03
NIFTY METAL,13-FEB-2023,12.12,1.85,5.09
NIFTY METAL,14-FEB-2023,12.35,1.87,5.04
NIFTY METAL,15-FEB-2023,12.54,1.88,5.01
NIFTY METAL,16-FEB-2023,12.62,1.9,4.95
NIFTY METAL,17-FEB-2023,12.5,1.88,4.93
NIFTY METAL,20-FEB-2023,12.41,1.87,4.97
NIFTY METAL,21-FEB-2023,12.37,1.86,4.98
NIFTY METAL,22-FEB-2023,12.04,1.81,5.12
NIFTY METAL,23-FEB-2023,12.08,1.82,5.1
NIFTY METAL,24-FEB-2023,11.72,1.77,5.25
NIFTY METAL,27-FEB-2023,11.44,1.72,5.38
NIFTY METAL,28-FEB-2023,11.34,1.71,5.43
NIFTY METAL,01-MAR-2023,11.79,1.78,5.22
NIFTY METAL,02-MAR-2023,11.78,1.78,5.22
NIFTY METAL,03-MAR-2023,12.2,1.84,5.04
NIFTY METAL,06-MAR-2023,12.23,1.84,5.03
NIFTY METAL,08-MAR-2023,12.23,1.84,5.03
NIFTY METAL,09-MAR-2023,12.24,1.84,4.65
NIFTY METAL,10-MAR-2023,12.13,1.83,4.69
NIFTY METAL,13-MAR-2023,12.03,1.81,4.73
NIFTY METAL,14-MAR-2023,11.88,1.79,4.79
NIFTY METAL,15-MAR-2023,12.09,1.82,4.71
NIFTY METAL,16-MAR-2023,11.78,1.77,4.82
NIFTY METAL,17-MAR-2023,12.06,1.82,4.71
NIFTY METAL,20-MAR-2023,11.78,1.77,4.82
NIFTY METAL,21-MAR-2023,11.82,1.78,4.87
NIFTY METAL,22-MAR-2023,11.82,1.78,4.87
NIFTY METAL,23-MAR-2023,11.83,1.78,4.86
NIFTY METAL,24-MAR-2023,11.56,1.74,5.02
NIFTY METAL,27-MAR-2023,11.56,1.74,5.02
NIFTY METAL,28-MAR-2023,11.47,1.73,4.96
NIFTY METAL,29-MAR-2023,11.73,1.77,5.03
NIFTY METAL,31-MAR-2023,11.45,1.74,4.95
NIFTY METAL,03-APR-2023,11.41,1.73,4.96
NIFTY METAL,05-APR-2023,11.45,1.74,4.95
NIFTY METAL,06-APR-2023,11.45,1.74,5.55
NIFTY METAL,10-APR-2023,11.53,1.75,5.51
