Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY NEXT 50,01-JAN-2018,37.74,3.61,0.99
NIFTY NEXT 50,02-JAN-2018,37.61,3.6,0.99
NIFTY NEXT 50,03-JAN-2018,37.83,3.62,0.99
NIFTY NEXT 50,04-JAN-2018,38.32,3.65,0.98
NIFTY NEXT 50,05-JAN-2018,38.8,3.7,0.97
NIFTY NEXT 50,08-JAN-2018,39.08,3.73,0.96
NIFTY NEXT 50,09-JAN-2018,38.91,3.71,0.96
NIFTY NEXT 50,10-JAN-2018,38.84,3.7,0.97
NIFTY NEXT 50,11-JAN-2018,38.8,3.7,0.97
NIFTY NEXT 50,12-JAN-2018,38.81,3.7,0.97
NIFTY NEXT 50,15-JAN-2018,38.84,3.7,0.97
NIFTY NEXT 50,16-JAN-2018,38.21,3.64,0.98
NIFTY NEXT 50,17-JAN-2018,38.48,3.67,0.97
NIFTY NEXT 50,18-JAN-2018,37.91,3.62,0.99
NIFTY NEXT 50,19-JAN-2018,38.19,3.65,0.98
NIFTY NEXT 50,22-JAN-2018,38.49,3.68,0.97
NIFTY NEXT 50,23-JAN-2018,38.76,3.7,0.97
NIFTY NEXT 50,24-JAN-2018,38.51,3.68,0.97
NIFTY NEXT 50,25-JAN-2018,37.99,3.63,0.99
NIFTY NEXT 50,29-JAN-2018,38.3,3.61,0.99
NIFTY NEXT 50,30-JAN-2018,38.09,3.59,1
NIFTY NEXT 50,31-JAN-2018,37.74,3.57,1.01
NIFTY NEXT 50,01-FEB-2018,37.75,3.57,1
NIFTY NEXT 50,02-FEB-2018,36.63,3.47,1.03
NIFTY NEXT 50,05-FEB-2018,36.45,3.46,1.04
NIFTY NEXT 50,06-FEB-2018,35.94,3.41,1.05
NIFTY NEXT 50,07-FEB-2018,36.2,3.43,1.04
NIFTY NEXT 50,08-FEB-2018,36.78,3.49,1.03
NIFTY NEXT 50,09-FEB-2018,36.83,3.48,1.03
NIFTY NEXT 50,12-FEB-2018,37.32,3.53,1.02
NIFTY NEXT 50,14-FEB-2018,37.13,3.52,1.02
NIFTY NEXT 50,15-FEB-2018,37.18,3.49,1.03
NIFTY NEXT 50,16-FEB-2018,36.89,3.45,1.04
NIFTY NEXT 50,19-FEB-2018,36.49,3.41,1.02
NIFTY NEXT 50,20-FEB-2018,36.65,3.43,1.01
NIFTY NEXT 50,21-FEB-2018,36.49,3.41,1.02
NIFTY NEXT 50,22-FEB-2018,35.98,3.38,1.03
NIFTY NEXT 50,23-FEB-2018,36.54,3.43,1.09
NIFTY NEXT 50,26-FEB-2018,36.88,3.46,1.08
NIFTY NEXT 50,27-FEB-2018,36.15,3.45,1.09
NIFTY NEXT 50,28-FEB-2018,35.76,3.44,1.09
NIFTY NEXT 50,01-MAR-2018,35.5,3.41,1.12
NIFTY NEXT 50,05-MAR-2018,35.12,3.38,1.13
NIFTY NEXT 50,06-MAR-2018,35.18,3.35,1.14
NIFTY NEXT 50,07-MAR-2018,34.78,3.31,1.15
NIFTY NEXT 50,08-MAR-2018,34.75,3.31,1.15
NIFTY NEXT 50,09-MAR-2018,34.77,3.31,1.17
NIFTY NEXT 50,12-MAR-2018,35.03,3.34,1.16
NIFTY NEXT 50,13-MAR-2018,35.32,3.38,1.15
NIFTY NEXT 50,14-MAR-2018,35.35,3.38,1.15
NIFTY NEXT 50,15-MAR-2018,35.39,3.38,1.14
NIFTY NEXT 50,16-MAR-2018,34.85,3.35,1.16
NIFTY NEXT 50,19-MAR-2018,34.29,3.3,1.17
NIFTY NEXT 50,20-MAR-2018,34.54,3.32,1.17
NIFTY NEXT 50,21-MAR-2018,34.69,3.33,1.16
NIFTY NEXT 50,22-MAR-2018,34.43,3.32,1.17
NIFTY NEXT 50,23-MAR-2018,34.21,3.3,1.17
NIFTY NEXT 50,26-MAR-2018,34.73,3.35,1.16
NIFTY NEXT 50,27-MAR-2018,35,3.37,1.15
NIFTY NEXT 50,28-MAR-2018,34.65,3.34,1.16
NIFTY NEXT 50,02-APR-2018,33.45,3.37,1.16
NIFTY NEXT 50,03-APR-2018,33.84,3.4,1.15
NIFTY NEXT 50,04-APR-2018,33.45,3.37,1.16
NIFTY NEXT 50,05-APR-2018,34.06,3.43,1.14
NIFTY NEXT 50,06-APR-2018,34.45,3.47,1.13
NIFTY NEXT 50,09-APR-2018,34.47,3.47,1.13
NIFTY NEXT 50,10-APR-2018,34.42,3.46,1.13
NIFTY NEXT 50,11-APR-2018,34.47,3.47,1.13
NIFTY NEXT 50,12-APR-2018,34.41,3.46,1.13
NIFTY NEXT 50,13-APR-2018,34.4,3.46,1.13
NIFTY NEXT 50,16-APR-2018,34.58,3.48,1.12
NIFTY NEXT 50,17-APR-2018,34.65,3.49,1.12
NIFTY NEXT 50,18-APR-2018,34.62,3.48,1.12
NIFTY NEXT 50,19-APR-2018,34.87,3.51,1.11
NIFTY NEXT 50,19-APR-2018,34.87,3.51,1.11
NIFTY NEXT 50,20-APR-2018,34.73,3.49,1.12
NIFTY NEXT 50,23-APR-2018,35.12,3.58,1.11
NIFTY NEXT 50,24-APR-2018,35.18,3.59,1.11
NIFTY NEXT 50,25-APR-2018,35.12,3.58,1.11
NIFTY NEXT 50,26-APR-2018,35.05,3.57,1.11
NIFTY NEXT 50,27-APR-2018,35.26,3.59,1.11
NIFTY NEXT 50,30-APR-2018,35.46,3.61,1.1
NIFTY NEXT 50,02-MAY-2018,35,3.57,1.11
NIFTY NEXT 50,03-MAY-2018,34.55,3.52,1.13
NIFTY NEXT 50,04-MAY-2018,34.33,3.5,1.14
NIFTY NEXT 50,07-MAY-2018,34.6,3.53,1.13
NIFTY NEXT 50,08-MAY-2018,34.49,3.51,1.13
NIFTY NEXT 50,09-MAY-2018,34.29,3.49,1.14
NIFTY NEXT 50,10-MAY-2018,33.84,3.45,1.15
NIFTY NEXT 50,11-MAY-2018,33.85,3.45,1.15
NIFTY NEXT 50,14-MAY-2018,33.69,3.43,1.16
NIFTY NEXT 50,15-MAY-2018,33.58,3.42,1.16
NIFTY NEXT 50,16-MAY-2018,33.54,3.42,1.16
NIFTY NEXT 50,17-MAY-2018,33.53,3.42,1.16
NIFTY NEXT 50,18-MAY-2018,33.05,3.37,1.18
NIFTY NEXT 50,21-MAY-2018,32.57,3.32,1.2
NIFTY NEXT 50,22-MAY-2018,33.01,3.36,1.18
NIFTY NEXT 50,23-MAY-2018,32.83,3.35,1.19
NIFTY NEXT 50,24-MAY-2018,32.92,3.35,1.18
NIFTY NEXT 50,25-MAY-2018,33.47,3.41,1.16
NIFTY NEXT 50,28-MAY-2018,33.99,3.47,1.15
NIFTY NEXT 50,29-MAY-2018,33.97,3.47,1.15
NIFTY NEXT 50,30-MAY-2018,33.87,3.46,1.15
NIFTY NEXT 50,31-MAY-2018,33.75,3.44,1.15
NIFTY NEXT 50,01-JUN-2018,33.41,3.41,1.16
NIFTY NEXT 50,04-JUN-2018,33.11,3.38,1.18
NIFTY NEXT 50,05-JUN-2018,32.77,3.34,1.19
NIFTY NEXT 50,06-JUN-2018,33.27,3.39,1.17
NIFTY NEXT 50,07-JUN-2018,33.68,3.44,1.15
NIFTY NEXT 50,08-JUN-2018,34.32,3.45,1.15
NIFTY NEXT 50,11-JUN-2018,33.46,3.46,1.15
NIFTY NEXT 50,12-JUN-2018,33.7,3.48,1.14
NIFTY NEXT 50,13-JUN-2018,33.63,3.47,1.14
NIFTY NEXT 50,14-JUN-2018,33.57,3.47,1.15
NIFTY NEXT 50,15-JUN-2018,33.32,3.44,1.15
NIFTY NEXT 50,18-JUN-2018,33.03,3.42,1.16
NIFTY NEXT 50,19-JUN-2018,32.78,3.4,1.17
NIFTY NEXT 50,20-JUN-2018,32.81,3.4,1.17
NIFTY NEXT 50,21-JUN-2018,32.56,3.38,1.18
NIFTY NEXT 50,21-JUN-2018,32.56,3.38,1.18
NIFTY NEXT 50,22-JUN-2018,32.73,3.4,1.17
NIFTY NEXT 50,25-JUN-2018,32.3,3.35,1.19
NIFTY NEXT 50,26-JUN-2018,41.36,3.36,1.18
NIFTY NEXT 50,27-JUN-2018,40.46,3.31,1.2
NIFTY NEXT 50,28-JUN-2018,39.96,3.27,1.21
NIFTY NEXT 50,29-JUN-2018,40.93,3.32,1.16
NIFTY NEXT 50,02-JUL-2018,40.58,3.3,1.17
NIFTY NEXT 50,03-JUL-2018,44.04,3.31,1.17
NIFTY NEXT 50,04-JUL-2018,43.95,3.3,1.17
