Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY SMALLCAP 50,01-JAN-2025,31.12,3.78,0.84
NIFTY SMALLCAP 50,02-JAN-2025,31.32,3.8,0.83
NIFTY SMALLCAP 50,03-JAN-2025,31.14,3.78,0.83
NIFTY SMALLCAP 50,06-JAN-2025,30.18,3.66,0.86
NIFTY SMALLCAP 50,07-JAN-2025,30.54,3.71,0.85
NIFTY SMALLCAP 50,08-JAN-2025,30.07,3.65,0.86
NIFTY SMALLCAP 50,09-JAN-2025,29.74,3.61,0.87
NIFTY SMALLCAP 50,10-JAN-2025,28.98,3.52,0.9
NIFTY SMALLCAP 50,13-JAN-2025,27.88,3.38,0.93
NIFTY SMALLCAP 50,14-JAN-2025,28.44,3.45,0.91
NIFTY SMALLCAP 50,15-JAN-2025,28.63,3.47,0.91
NIFTY SMALLCAP 50,16-JAN-2025,29.01,3.52,0.94
NIFTY SMALLCAP 50,17-JAN-2025,29.08,3.53,0.94
NIFTY SMALLCAP 50,20-JAN-2025,29.42,3.57,0.93
NIFTY SMALLCAP 50,21-JAN-2025,29.04,3.5,0.95
NIFTY SMALLCAP 50,22-JAN-2025,28.57,3.45,0.97
NIFTY SMALLCAP 50,23-JAN-2025,28.69,3.5,0.94
NIFTY SMALLCAP 50,24-JAN-2025,27.9,3.4,0.97
NIFTY SMALLCAP 50,27-JAN-2025,26.59,3.27,1
NIFTY SMALLCAP 50,28-JAN-2025,25.97,3.2,1.02
NIFTY SMALLCAP 50,29-JAN-2025,25.38,3.31,0.98
NIFTY SMALLCAP 50,30-JAN-2025,25.44,3.31,0.97
NIFTY SMALLCAP 50,31-JAN-2025,25.74,3.37,0.97
NIFTY SMALLCAP 50,01-FEB-2025,26.03,3.41,0.92
NIFTY SMALLCAP 50,03-FEB-2025,25.51,3.34,0.95
NIFTY SMALLCAP 50,04-FEB-2025,25.88,3.39,0.93
NIFTY SMALLCAP 50,05-FEB-2025,26.41,3.46,0.9
NIFTY SMALLCAP 50,06-FEB-2025,26.36,3.45,0.91
NIFTY SMALLCAP 50,07-FEB-2025,26.3,3.44,0.92
NIFTY SMALLCAP 50,10-FEB-2025,25.49,3.36,0.94
NIFTY SMALLCAP 50,11-FEB-2025,24.65,3.25,0.98
NIFTY SMALLCAP 50,12-FEB-2025,24.09,3.24,0.97
NIFTY SMALLCAP 50,13-FEB-2025,23.99,3.22,0.97
NIFTY SMALLCAP 50,14-FEB-2025,23.31,3.1,1.07
NIFTY SMALLCAP 50,17-FEB-2025,23.66,3.12,1.05
NIFTY SMALLCAP 50,18-FEB-2025,22.92,3.08,1.07
NIFTY SMALLCAP 50,19-FEB-2025,23.43,3.14,1.05
NIFTY SMALLCAP 50,20-FEB-2025,23.8,3.19,1.04
NIFTY SMALLCAP 50,21-FEB-2025,23.54,3.16,1.06
NIFTY SMALLCAP 50,24-FEB-2025,23.28,3.12,1.04
NIFTY SMALLCAP 50,25-FEB-2025,23.18,3.11,1.04
NIFTY SMALLCAP 50,27-FEB-2025,22.85,3.07,1.05
NIFTY SMALLCAP 50,28-FEB-2025,22.14,2.97,1.09
NIFTY SMALLCAP 50,03-MAR-2025,22.18,2.98,1.09
NIFTY SMALLCAP 50,04-MAR-2025,22.31,2.99,1.08
NIFTY SMALLCAP 50,05-MAR-2025,23.03,3.09,1.05
NIFTY SMALLCAP 50,06-MAR-2025,23.33,3.13,1.03
NIFTY SMALLCAP 50,07-MAR-2025,23.34,3.13,1.03
NIFTY SMALLCAP 50,10-MAR-2025,22.87,3.07,1.05
NIFTY SMALLCAP 50,11-MAR-2025,22.73,3.05,1.06
NIFTY SMALLCAP 50,12-MAR-2025,22.69,3.04,1.06
NIFTY SMALLCAP 50,13-MAR-2025,22.45,3.01,1.07
NIFTY SMALLCAP 50,17-MAR-2025,22.62,3.03,1.07
NIFTY SMALLCAP 50,18-MAR-2025,23.24,3.12,1.11
NIFTY SMALLCAP 50,19-MAR-2025,23.71,3.18,1.09
NIFTY SMALLCAP 50,20-MAR-2025,23.82,3.2,1.1
NIFTY SMALLCAP 50,21-MAR-2025,24.33,3.27,1.04
NIFTY SMALLCAP 50,24-MAR-2025,24.57,3.3,1.03
NIFTY SMALLCAP 50,25-MAR-2025,24.21,3.25,1.05
NIFTY SMALLCAP 50,26-MAR-2025,23.97,3.22,1.06
NIFTY SMALLCAP 50,27-MAR-2025,24.12,3.24,1.05
NIFTY SMALLCAP 50,28-MAR-2025,30.01,3.87,1.23
NIFTY SMALLCAP 50,01-APR-2025,29.73,3.83,1.24
NIFTY SMALLCAP 50,02-APR-2025,30.11,3.88,1.22
NIFTY SMALLCAP 50,03-APR-2025,30.32,3.91,1.21
NIFTY SMALLCAP 50,04-APR-2025,29.22,3.77,1.26
NIFTY SMALLCAP 50,07-APR-2025,28.26,3.64,1.3
NIFTY SMALLCAP 50,08-APR-2025,28.84,3.72,1.28
NIFTY SMALLCAP 50,09-APR-2025,28.59,3.69,1.29
NIFTY SMALLCAP 50,11-APR-2025,29.41,3.79,1.25
NIFTY SMALLCAP 50,15-APR-2025,30.31,3.91,1.21
NIFTY SMALLCAP 50,15-APR-2025,30.31,3.91,1.21
NIFTY SMALLCAP 50,16-APR-2025,30.62,3.95,1.2
NIFTY SMALLCAP 50,17-APR-2025,30.72,3.96,1.2
