Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY 50,01-JAN-2024,23.18,3.81,1.28
NIFTY 50,02-JAN-2024,23.1,3.79,1.28
NIFTY 50,03-JAN-2024,22.94,3.77,1.29
NIFTY 50,04-JAN-2024,23.09,3.79,1.28
NIFTY 50,05-JAN-2024,23.15,3.8,1.28
NIFTY 50,08-JAN-2024,22.94,3.77,1.29
NIFTY 50,09-JAN-2024,22.97,3.77,1.29
NIFTY 50,10-JAN-2024,23.05,3.79,1.29
NIFTY 50,11-JAN-2024,23.08,3.79,1.29
NIFTY 50,12-JAN-2024,23.34,3.83,1.27
NIFTY 50,15-JAN-2024,23.59,3.87,1.26
NIFTY 50,16-JAN-2024,23.52,3.86,1.18
NIFTY 50,17-JAN-2024,23.03,3.78,1.21
NIFTY 50,18-JAN-2024,22.64,3.76,1.21
NIFTY 50,19-JAN-2024,22.79,3.79,1.24
NIFTY 50,20-JAN-2024,22.73,3.78,1.24
NIFTY 50,23-JAN-2024,22.31,3.72,1.26
NIFTY 50,24-JAN-2024,22.39,3.76,1.25
NIFTY 50,25-JAN-2024,22.27,3.74,1.25
NIFTY 50,29-JAN-2024,22.58,3.81,1.23
NIFTY 50,30-JAN-2024,22.31,3.77,1.24
NIFTY 50,31-JAN-2024,22.46,3.81,1.23
NIFTY 50,01-FEB-2024,22.38,3.8,1.23
NIFTY 50,02-FEB-2024,22.51,3.83,1.22
NIFTY 50,05-FEB-2024,22.39,3.81,1.21
NIFTY 50,06-FEB-2024,22.66,3.84,1.21
NIFTY 50,07-FEB-2024,22.66,3.84,1.21
NIFTY 50,08-FEB-2024,22.45,3.8,1.24
NIFTY 50,09-FEB-2024,22.51,3.82,1.24
NIFTY 50,12-FEB-2024,22.38,3.79,1.25
NIFTY 50,13-FEB-2024,22.5,3.81,1.25
NIFTY 50,14-FEB-2024,22.59,3.83,1.24
NIFTY 50,15-FEB-2024,22.62,3.84,1.21
NIFTY 50,16-FEB-2024,22.76,3.86,1.22
NIFTY 50,19-FEB-2024,22.84,3.88,1.2
NIFTY 50,20-FEB-2024,22.92,3.89,1.21
NIFTY 50,21-FEB-2024,22.77,3.86,1.23
NIFTY 50,22-FEB-2024,22.94,3.89,1.22
NIFTY 50,23-FEB-2024,22.93,3.89,1.22
NIFTY 50,26-FEB-2024,22.84,3.87,1.21
NIFTY 50,27-FEB-2024,22.92,3.89,1.21
NIFTY 50,28-FEB-2024,22.66,3.84,1.22
NIFTY 50,29-FEB-2024,22.7,3.85,1.22
NIFTY 50,01-MAR-2024,23.06,3.91,1.2
NIFTY 50,02-MAR-2024,23.1,3.92,1.2
NIFTY 50,04-MAR-2024,23.13,3.92,1.2
NIFTY 50,05-MAR-2024,23.08,3.92,1.2
NIFTY 50,06-MAR-2024,23.2,3.94,1.19
NIFTY 50,07-MAR-2024,23.22,3.94,1.19
NIFTY 50,11-MAR-2024,23.06,3.91,1.2
NIFTY 50,12-MAR-2024,23.06,3.91,1.2
NIFTY 50,13-MAR-2024,22.71,3.85,1.22
NIFTY 50,14-MAR-2024,22.86,3.88,1.21
NIFTY 50,15-MAR-2024,22.74,3.86,1.22
NIFTY 50,18-MAR-2024,22.77,3.86,1.22
NIFTY 50,19-MAR-2024,22.52,3.82,1.23
NIFTY 50,20-MAR-2024,22.55,3.83,1.23
NIFTY 50,21-MAR-2024,22.73,3.86,1.22
NIFTY 50,22-MAR-2024,22.81,3.87,1.21
NIFTY 50,26-MAR-2024,22.72,3.85,1.22
NIFTY 50,27-MAR-2024,22.84,3.87,1.21
NIFTY 50,28-MAR-2024,22.88,3.92,1.2
NIFTY 50,01-APR-2024,23.02,3.94,1.2
NIFTY 50,02-APR-2024,23.01,3.94,1.2
NIFTY 50,03-APR-2024,22.99,3.93,1.2
NIFTY 50,04-APR-2024,23.07,3.95,1.19
NIFTY 50,05-APR-2024,23.07,3.95,1.19
NIFTY 50,08-APR-2024,23.23,3.98,1.18
NIFTY 50,09-APR-2024,23.2,3.97,1.19
NIFTY 50,10-APR-2024,23.32,3.99,1.18
NIFTY 50,12-APR-2024,23.08,3.95,1.19
NIFTY 50,15-APR-2024,22.82,3.91,1.2
NIFTY 50,16-APR-2024,22.68,3.88,1.2
NIFTY 50,18-APR-2024,22.53,3.86,1.21
NIFTY 50,19-APR-2024,22.68,3.88,1.2
NIFTY 50,22-APR-2024,22.78,3.92,1.19
NIFTY 50,23-APR-2024,22.54,3.92,1.19
NIFTY 50,24-APR-2024,22.58,3.93,1.19
NIFTY 50,25-APR-2024,22.75,3.96,1.18
NIFTY 50,26-APR-2024,22,3.93,1.19
NIFTY 50,29-APR-2024,22.2,3.97,1.15
NIFTY 50,30-APR-2024,22,3.96,1.16
NIFTY 50,02-MAY-2024,22.03,3.97,1.15
NIFTY 50,03-MAY-2024,21.87,3.94,1.16
NIFTY 50,06-MAY-2024,21.77,3.94,1.16
NIFTY 50,07-MAY-2024,21.61,3.91,1.19
NIFTY 50,08-MAY-2024,21.61,3.91,1.19
NIFTY 50,09-MAY-2024,21.26,3.85,1.21
NIFTY 50,10-MAY-2024,21.33,3.87,1.36
NIFTY 50,13-MAY-2024,21.35,3.88,1.35
NIFTY 50,14-MAY-2024,21.19,3.9,1.35
NIFTY 50,15-MAY-2024,21.17,3.89,1.35
NIFTY 50,16-MAY-2024,21.41,3.93,1.26
NIFTY 50,17-MAY-2024,21.47,3.94,1.25
NIFTY 50,18-MAY-2024,21.5,3.95,1.25
NIFTY 50,21-MAY-2024,21.52,3.95,1.24
NIFTY 50,22-MAY-2024,21.55,3.96,1.29
NIFTY 50,23-MAY-2024,21.9,4.03,1.27
NIFTY 50,24-MAY-2024,21.88,4.03,1.28
NIFTY 50,27-MAY-2024,21.85,4.02,1.28
NIFTY 50,28-MAY-2024,21.74,4.01,1.28
NIFTY 50,29-MAY-2024,21.57,3.98,1.29
NIFTY 50,30-MAY-2024,21.36,3.94,1.22
NIFTY 50,31-MAY-2024,21.4,3.95,1.28
NIFTY 50,03-JUN-2024,22.13,4.08,1.17
NIFTY 50,04-JUN-2024,20.81,3.84,1.31
NIFTY 50,05-JUN-2024,21.51,3.97,1.26
NIFTY 50,06-JUN-2024,21.71,4,1.25
NIFTY 50,07-JUN-2024,22.15,4.08,1.23
NIFTY 50,10-JUN-2024,22.12,4.08,1.22
NIFTY 50,11-JUN-2024,22.13,4.08,1.24
NIFTY 50,12-JUN-2024,22.18,4.09,1.24
NIFTY 50,13-JUN-2024,22.25,4.06,1.24
NIFTY 50,14-JUN-2024,22.32,4.07,1.27
NIFTY 50,18-JUN-2024,22.4,4.08,1.23
NIFTY 50,19-JUN-2024,22.36,4.08,1.22
NIFTY 50,20-JUN-2024,22.41,4.05,1.25
NIFTY 50,21-JUN-2024,22.34,4.04,1.29
NIFTY 50,24-JUN-2024,22.38,4.05,1.26
NIFTY 50,25-JUN-2024,22.55,4.08,1.25
NIFTY 50,26-JUN-2024,22.69,4.1,1.24
NIFTY 50,27-JUN-2024,22.86,4.13,1.24
NIFTY 50,28-JUN-2024,22.85,4.14,1.25
NIFTY 50,01-JUL-2024,22.97,4.16,1.22
NIFTY 50,02-JUL-2024,22.96,4.16,1.23
NIFTY 50,03-JUL-2024,23.11,4.18,1.22
NIFTY 50,04-JUL-2024,23.13,4.19,1.22
NIFTY 50,05-JUL-2024,23.15,4.19,1.23
NIFTY 50,08-JUL-2024,23.14,4.19,1.23
NIFTY 50,09-JUL-2024,23.25,4.21,1.23
NIFTY 50,10-JUL-2024,23.15,4.19,1.23
NIFTY 50,11-JUL-2024,23.14,4.19,1.23
NIFTY 50,12-JUL-2024,23.32,4.22,1.23
NIFTY 50,15-JUL-2024,23.38,4.16,1.2
NIFTY 50,16-JUL-2024,23.39,4.17,1.21
NIFTY 50,18-JUL-2024,23.57,4.19,1.2
NIFTY 50,19-JUL-2024,23.31,4.16,1.24
NIFTY 50,22-JUL-2024,23.28,4.15,1.2
NIFTY 50,23-JUL-2024,23.11,4.12,1.22
NIFTY 50,24-JUL-2024,23.05,4.11,1.22
NIFTY 50,25-JUL-2024,23.03,4.11,1.22
NIFTY 50,26-JUL-2024,23.4,4.19,1.2
NIFTY 50,29-JUL-2024,23.4,4.19,1.18
NIFTY 50,30-JUL-2024,23.31,4.19,1.19
NIFTY 50,31-JUL-2024,23.4,4.21,1.19
NIFTY 50,01-AUG-2024,23.45,4.22,1.19
NIFTY 50,02-AUG-2024,23.09,4.17,1.19
NIFTY 50,05-AUG-2024,22.38,4.05,1.22
NIFTY 50,06-AUG-2024,22.3,4.04,1.23
NIFTY 50,07-AUG-2024,22.61,4.09,1.25
NIFTY 50,08-AUG-2024,22.44,4.06,1.25
NIFTY 50,09-AUG-2024,22.67,4.11,1.21
NIFTY 50,12-AUG-2024,22.65,4.1,1.24
NIFTY 50,13-AUG-2024,22.46,4.07,1.25
NIFTY 50,14-AUG-2024,22.47,4.07,1.24
NIFTY 50,16-AUG-2024,22.8,4.14,1.24
NIFTY 50,19-AUG-2024,22.83,4.14,1.26
NIFTY 50,20-AUG-2024,22.95,4.16,1.26
NIFTY 50,21-AUG-2024,23.01,4.17,1.22
NIFTY 50,22-AUG-2024,23.05,4.18,1.22
NIFTY 50,23-AUG-2024,23.06,4.18,1.23
NIFTY 50,26-AUG-2024,23.24,4.21,1.22
NIFTY 50,27-AUG-2024,23.24,4.22,1.22
NIFTY 50,28-AUG-2024,23.28,4.22,1.22
NIFTY 50,29-AUG-2024,23.37,4.24,1.21
NIFTY 50,30-AUG-2024,23.47,4.26,1.21
NIFTY 50,02-SEP-2024,23.51,4.27,1.21
NIFTY 50,03-SEP-2024,23.51,4.27,1.21
NIFTY 50,04-SEP-2024,23.43,4.26,1.21
NIFTY 50,05-SEP-2024,23.38,4.25,1.21
NIFTY 50,06-SEP-2024,23.11,4.2,1.23
NIFTY 50,09-SEP-2024,23.19,4.21,1.22
