Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY AUTO,01-JAN-2019,25.58,4.39,1.07
NIFTY AUTO,02-JAN-2019,24.8,4.25,1.1
NIFTY AUTO,03-JAN-2019,24.42,4.19,1.12
NIFTY AUTO,04-JAN-2019,24.54,4.21,1.11
NIFTY AUTO,07-JAN-2019,24.57,4.21,1.11
NIFTY AUTO,08-JAN-2019,24.68,4.23,1.11
NIFTY AUTO,09-JAN-2019,24.81,4.26,1.1
NIFTY AUTO,10-JAN-2019,24.88,4.27,1.1
NIFTY AUTO,11-JAN-2019,24.69,4.23,1.11
NIFTY AUTO,14-JAN-2019,24.65,4.23,1.11
NIFTY AUTO,15-JAN-2019,24.76,4.25,1.1
NIFTY AUTO,16-JAN-2019,24.7,4.24,1.1
NIFTY AUTO,17-JAN-2019,24.73,4.24,1.1
NIFTY AUTO,18-JAN-2019,24.64,4.23,1.11
NIFTY AUTO,21-JAN-2019,24.36,4.18,1.12
NIFTY AUTO,22-JAN-2019,24.16,4.14,1.13
NIFTY AUTO,23-JAN-2019,23.99,4.11,1.14
NIFTY AUTO,24-JAN-2019,23.78,4.08,1.15
NIFTY AUTO,25-JAN-2019,23.01,3.95,1.19
NIFTY AUTO,28-JAN-2019,22.68,3.89,1.2
NIFTY AUTO,29-JAN-2019,22.8,3.88,1.21
NIFTY AUTO,30-JAN-2019,22.8,3.88,1.21
NIFTY AUTO,31-JAN-2019,22.98,3.93,1.19
NIFTY AUTO,01-FEB-2019,23.59,4.03,1.16
NIFTY AUTO,04-FEB-2019,23.46,4.01,1.17
NIFTY AUTO,05-FEB-2019,23.67,4.05,1.16
NIFTY AUTO,06-FEB-2019,23.94,4.09,1.14
NIFTY AUTO,07-FEB-2019,24.42,4.17,1.12
NIFTY AUTO,08-FEB-2019,23.56,4.02,1.16
NIFTY AUTO,11-FEB-2019,23.28,3.97,1.18
NIFTY AUTO,12-FEB-2019,23.17,3.95,1.18
NIFTY AUTO,13-FEB-2019,22.88,3.91,1.2
NIFTY AUTO,14-FEB-2019,23.01,3.93,1.19
NIFTY AUTO,15-FEB-2019,22.76,3.88,1.2
NIFTY AUTO,18-FEB-2019,22.58,3.85,1.21
NIFTY AUTO,19-FEB-2019,22.57,3.86,1.21
NIFTY AUTO,20-FEB-2019,22.77,3.88,1.21
NIFTY AUTO,21-FEB-2019,22.87,3.9,1.2
NIFTY AUTO,22-FEB-2019,23.21,3.98,1.18
NIFTY AUTO,25-FEB-2019,23.47,4.03,1.17
NIFTY AUTO,26-FEB-2019,23.53,4.04,1.17
NIFTY AUTO,27-FEB-2019,23.59,4.05,1.16
NIFTY AUTO,28-FEB-2019,23.41,4.02,1.17
NIFTY AUTO,01-MAR-2019,23.57,4.05,1.16
NIFTY AUTO,05-MAR-2019,24.38,4.18,1.13
NIFTY AUTO,06-MAR-2019,24.31,4.16,1.13
NIFTY AUTO,07-MAR-2019,24.26,4.16,1.13
NIFTY AUTO,08-MAR-2019,24.11,4.13,1.14
NIFTY AUTO,11-MAR-2019,24.67,4.23,1.12
NIFTY AUTO,12-MAR-2019,24.73,4.24,1.11
NIFTY AUTO,13-MAR-2019,24.63,4.22,1.12
NIFTY AUTO,14-MAR-2019,24.51,4.2,1.12
NIFTY AUTO,15-MAR-2019,24.58,4.21,1.12
NIFTY AUTO,18-MAR-2019,24.24,4.15,1.14
NIFTY AUTO,19-MAR-2019,24.07,4.12,1.14
NIFTY AUTO,20-MAR-2019,23.73,4.06,1.16
NIFTY AUTO,22-MAR-2019,23.42,4.01,1.17
NIFTY AUTO,25-MAR-2019,23.15,3.96,1.19
NIFTY AUTO,26-MAR-2019,23.28,3.99,1.18
NIFTY AUTO,27-MAR-2019,23.08,3.95,1.19
NIFTY AUTO,28-MAR-2019,23.13,3.96,1.19
NIFTY AUTO,29-MAR-2019,23.25,4.09,1.19
NIFTY AUTO,01-APR-2019,23.47,4.13,1.18
NIFTY AUTO,02-APR-2019,23.72,4.17,1.17
NIFTY AUTO,03-APR-2019,23.65,4.16,1.17
NIFTY AUTO,04-APR-2019,23.81,4.19,1.16
NIFTY AUTO,05-APR-2019,23.89,4.2,1.16
NIFTY AUTO,08-APR-2019,23.78,4.18,1.16
NIFTY AUTO,09-APR-2019,24.05,4.23,1.15
NIFTY AUTO,10-APR-2019,24.11,4.24,1.15
NIFTY AUTO,11-APR-2019,24.24,4.26,1.14
NIFTY AUTO,12-APR-2019,24.48,4.3,1.13
NIFTY AUTO,15-APR-2019,24.85,4.37,1.11
NIFTY AUTO,16-APR-2019,25.05,4.4,1.1
NIFTY AUTO,18-APR-2019,25.02,4.4,1.11
NIFTY AUTO,22-APR-2019,24.58,4.32,1.13
NIFTY AUTO,23-APR-2019,24.22,4.26,1.14
NIFTY AUTO,24-APR-2019,24.11,4.24,1.15
NIFTY AUTO,25-APR-2019,23.95,4.21,1.15
NIFTY AUTO,26-APR-2019,23.69,4.16,1.17
NIFTY AUTO,30-APR-2019,23.29,4.09,1.19
NIFTY AUTO,02-MAY-2019,23.24,4.09,1.19
NIFTY AUTO,03-MAY-2019,23.38,4.11,1.18
NIFTY AUTO,06-MAY-2019,23.06,4.05,1.2
NIFTY AUTO,07-MAY-2019,23.1,4.02,1.21
NIFTY AUTO,08-MAY-2019,22.79,3.97,1.23
NIFTY AUTO,09-MAY-2019,22.81,3.97,1.22
NIFTY AUTO,10-MAY-2019,22.82,3.97,1.23
NIFTY AUTO,13-MAY-2019,22.23,3.89,1.25
NIFTY AUTO,14-MAY-2019,22.28,3.9,1.25
NIFTY AUTO,15-MAY-2019,22,3.85,1.26
NIFTY AUTO,16-MAY-2019,22.09,3.87,1.26
NIFTY AUTO,17-MAY-2019,22.64,3.96,1.23
NIFTY AUTO,20-MAY-2019,23.43,4.13,1.18
NIFTY AUTO,21-MAY-2019,22.69,4.02,1.21
NIFTY AUTO,22-MAY-2019,22.8,4.04,1.2
NIFTY AUTO,23-MAY-2019,22.71,4.03,1.21
NIFTY AUTO,24-MAY-2019,23.39,4.15,1.17
NIFTY AUTO,27-MAY-2019,23.45,4.15,1.17
NIFTY AUTO,28-MAY-2019,23.27,4.12,1.18
NIFTY AUTO,29-MAY-2019,22.95,4.06,1.2
NIFTY AUTO,30-MAY-2019,22.82,4.04,1.2
NIFTY AUTO,31-MAY-2019,22.67,4.01,1.21
NIFTY AUTO,03-JUN-2019,23.09,4.08,1.19
NIFTY AUTO,04-JUN-2019,23.01,4.07,1.19
NIFTY AUTO,06-JUN-2019,22.81,4.03,1.21
NIFTY AUTO,07-JUN-2019,22.71,4.02,1.21
NIFTY AUTO,10-JUN-2019,22.78,4.03,1.21
NIFTY AUTO,11-JUN-2019,22.85,4.04,1.2
NIFTY AUTO,12-JUN-2019,22.59,3.99,1.22
