Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY BANK,01-JAN-2020,40.73,3.35,0.31
NIFTY BANK,02-JAN-2020,41.16,3.38,0.3
NIFTY BANK,03-JAN-2020,40.68,3.34,0.31
NIFTY BANK,06-JAN-2020,39.62,3.29,0.32
NIFTY BANK,07-JAN-2020,39.83,3.31,0.32
NIFTY BANK,08-JAN-2020,39.79,3.3,0.32
NIFTY BANK,09-JAN-2020,40.71,3.38,0.31
NIFTY BANK,10-JAN-2020,40.71,3.38,0.31
NIFTY BANK,13-JAN-2020,40.81,3.39,0.31
NIFTY BANK,14-JAN-2020,40.68,3.38,0.31
NIFTY BANK,15-JAN-2020,40.37,3.35,0.31
NIFTY BANK,16-JAN-2020,40.02,3.09,0.36
NIFTY BANK,17-JAN-2020,39.69,3.07,0.37
NIFTY BANK,20-JAN-2020,37.88,3.02,0.37
NIFTY BANK,21-JAN-2020,37.4,2.96,0.35
NIFTY BANK,22-JAN-2020,37.1,2.9,0.36
NIFTY BANK,23-JAN-2020,37.59,2.92,0.36
NIFTY BANK,24-JAN-2020,37.88,2.95,0.36
NIFTY BANK,27-JAN-2020,35.38,2.91,0.36
NIFTY BANK,28-JAN-2020,35.85,2.88,0.36
NIFTY BANK,29-JAN-2020,35.99,2.88,0.37
NIFTY BANK,30-JAN-2020,35.72,2.86,0.37
NIFTY BANK,31-JAN-2020,35.94,2.88,0.37
NIFTY BANK,01-FEB-2020,34.75,2.78,0.38
NIFTY BANK,03-FEB-2020,35.04,2.8,0.38
NIFTY BANK,04-FEB-2020,35.02,2.86,0.37
NIFTY BANK,05-FEB-2020,35.5,2.89,0.37
NIFTY BANK,06-FEB-2020,35.85,2.92,0.36
NIFTY BANK,07-FEB-2020,35.73,2.91,0.36
NIFTY BANK,10-FEB-2020,35.57,2.9,0.37
NIFTY BANK,11-FEB-2020,35.85,2.92,0.36
NIFTY BANK,12-FEB-2020,36.07,2.94,0.36
NIFTY BANK,13-FEB-2020,35.77,2.91,0.36
NIFTY BANK,14-FEB-2020,35.31,2.88,0.37
NIFTY BANK,17-FEB-2020,35.14,2.86,0.37
NIFTY BANK,18-FEB-2020,35,2.85,0.37
NIFTY BANK,19-FEB-2020,35.32,2.88,0.37
NIFTY BANK,20-FEB-2020,35.44,2.89,0.37
NIFTY BANK,24-FEB-2020,34.88,2.84,0.37
NIFTY BANK,25-FEB-2020,34.85,2.84,0.37
NIFTY BANK,26-FEB-2020,34.71,2.83,0.38
NIFTY BANK,27-FEB-2020,34.57,2.82,0.38
NIFTY BANK,28-FEB-2020,33.38,2.72,0.39
NIFTY BANK,02-MAR-2020,33.06,2.69,0.39
NIFTY BANK,03-MAR-2020,33.41,2.72,0.39
NIFTY BANK,04-MAR-2020,32.82,2.67,0.4
NIFTY BANK,05-MAR-2020,33,2.69,0.39
NIFTY BANK,06-MAR-2020,31.84,2.59,0.41
NIFTY BANK,09-MAR-2020,30.31,2.47,0.43
NIFTY BANK,11-MAR-2020,30.33,2.47,0.43
NIFTY BANK,12-MAR-2020,27.45,2.24,0.47
NIFTY BANK,13-MAR-2020,28.82,2.35,0.45
NIFTY BANK,16-MAR-2020,26.46,2.16,0.49
NIFTY BANK,17-MAR-2020,25.37,2.07,0.51
NIFTY BANK,17-MAR-2020,25.37,2.07,0.51
NIFTY BANK,18-MAR-2020,23.57,1.92,0.55
NIFTY BANK,19-MAR-2020,21.69,1.88,0.48
NIFTY BANK,20-MAR-2020,21.95,1.9,0.48
NIFTY BANK,23-MAR-2020,18.27,1.58,0.57
NIFTY BANK,25-MAR-2020,19.96,1.73,0.52
NIFTY BANK,26-MAR-2020,21.19,1.83,0.49
NIFTY BANK,27-MAR-2020,21.57,1.87,0.49
