Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY FMCG,01-JAN-2021,44.58,10.4,1.32
NIFTY FMCG,04-JAN-2021,44.87,10.47,1.32
NIFTY FMCG,05-JAN-2021,45,10.5,1.31
NIFTY FMCG,06-JAN-2021,44.5,10.38,1.33
NIFTY FMCG,07-JAN-2021,44.11,10.29,1.34
NIFTY FMCG,08-JAN-2021,44.43,10.36,1.33
NIFTY FMCG,11-JAN-2021,44.95,10.49,1.31
NIFTY FMCG,12-JAN-2021,44.7,10.43,1.32
NIFTY FMCG,13-JAN-2021,44.87,10.47,1.32
NIFTY FMCG,14-JAN-2021,45.22,10.55,1.31
NIFTY FMCG,15-JAN-2021,44.89,10.47,1.32
NIFTY FMCG,18-JAN-2021,44.72,10.43,1.32
NIFTY FMCG,19-JAN-2021,44.93,10.48,1.31
NIFTY FMCG,20-JAN-2021,44.86,10.46,1.32
NIFTY FMCG,21-JAN-2021,44.71,10.43,1.32
NIFTY FMCG,22-JAN-2021,44.63,10.41,1.32
NIFTY FMCG,25-JAN-2021,44.3,10.33,1.33
NIFTY FMCG,27-JAN-2021,44.44,10.37,1.33
NIFTY FMCG,28-JAN-2021,43.59,10.17,1.35
NIFTY FMCG,29-JAN-2021,42.58,10.02,1.38
NIFTY FMCG,01-FEB-2021,43.21,10.19,1.35
NIFTY FMCG,02-FEB-2021,43.2,10.2,1.35
NIFTY FMCG,03-FEB-2021,43.14,10.18,1.35
NIFTY FMCG,04-FEB-2021,44.12,10.43,1.32
NIFTY FMCG,05-FEB-2021,44.17,10.48,1.31
NIFTY FMCG,08-FEB-2021,43.92,10.42,1.32
NIFTY FMCG,09-FEB-2021,43.54,10.35,1.33
NIFTY FMCG,10-FEB-2021,43.5,10.34,1.33
NIFTY FMCG,11-FEB-2021,43.85,10.42,1.32
NIFTY FMCG,12-FEB-2021,43.17,10.26,1.34
NIFTY FMCG,15-FEB-2021,44.09,10.27,1.34
NIFTY FMCG,16-FEB-2021,43.78,10.2,1.35
NIFTY FMCG,17-FEB-2021,43.51,10.14,1.36
NIFTY FMCG,18-FEB-2021,43.31,10.09,1.36
NIFTY FMCG,19-FEB-2021,43.26,10.08,1.37
NIFTY FMCG,22-FEB-2021,42.69,9.95,1.38
NIFTY FMCG,23-FEB-2021,42.86,9.99,1.38
NIFTY FMCG,24-FEB-2021,42.95,10.01,1.38
NIFTY FMCG,25-FEB-2021,42.83,9.98,1.38
NIFTY FMCG,26-FEB-2021,42.1,9.81,1.4
NIFTY FMCG,01-MAR-2021,42.56,9.92,1.39
NIFTY FMCG,02-MAR-2021,43.15,10.05,1.37
NIFTY FMCG,03-MAR-2021,43.42,10.12,1.36
NIFTY FMCG,04-MAR-2021,43.4,10.11,1.36
NIFTY FMCG,05-MAR-2021,43.29,10.09,1.37
NIFTY FMCG,08-MAR-2021,43.07,10.04,1.37
NIFTY FMCG,09-MAR-2021,43.11,10.04,1.37
NIFTY FMCG,10-MAR-2021,43.35,10.1,1.36
NIFTY FMCG,12-MAR-2021,42.92,10,1.38
NIFTY FMCG,15-MAR-2021,42.9,10,1.38
NIFTY FMCG,16-MAR-2021,43.28,10.08,1.37
NIFTY FMCG,17-MAR-2021,43.08,10.03,1.37
NIFTY FMCG,18-MAR-2021,43.12,10.04,1.37
NIFTY FMCG,19-MAR-2021,44.16,10.28,1.34
NIFTY FMCG,22-MAR-2021,44.91,10.46,1.32
NIFTY FMCG,23-MAR-2021,44.74,10.42,1.32
NIFTY FMCG,24-MAR-2021,44.11,10.27,1.34
NIFTY FMCG,25-MAR-2021,43.1,10.04,1.37
NIFTY FMCG,26-MAR-2021,43.89,10.22,1.35
NIFTY FMCG,30-MAR-2021,44.88,10.45,1.32
NIFTY FMCG,31-MAR-2021,42.93,10.52,2.74
NIFTY FMCG,01-APR-2021,42.86,10.5,2.74
NIFTY FMCG,05-APR-2021,42.16,10.33,2.79
NIFTY FMCG,06-APR-2021,42.55,10.43,2.76
NIFTY FMCG,07-APR-2021,42.81,10.49,2.75
NIFTY FMCG,08-APR-2021,43,10.54,2.84
NIFTY FMCG,09-APR-2021,43.33,10.62,2.82
NIFTY FMCG,12-APR-2021,42.48,10.41,2.87
NIFTY FMCG,13-APR-2021,42.67,10.46,2.86
NIFTY FMCG,15-APR-2021,42.6,10.44,2.87
NIFTY FMCG,16-APR-2021,42.84,10.5,2.85
NIFTY FMCG,19-APR-2021,42.43,10.4,2.88
NIFTY FMCG,20-APR-2021,42.15,10.33,2.9
NIFTY FMCG,22-APR-2021,41.84,10.25,2.92
NIFTY FMCG,23-APR-2021,41.38,10.15,2.94
NIFTY FMCG,26-APR-2021,41.56,10.19,2.93
NIFTY FMCG,27-APR-2021,41.73,10.24,2.92
NIFTY FMCG,28-APR-2021,41.88,10.27,2.91
NIFTY FMCG,29-APR-2021,41.73,10.24,2.9
NIFTY FMCG,30-APR-2021,41.26,10.12,2.94
NIFTY FMCG,03-MAY-2021,41.67,10.23,2.91
NIFTY FMCG,04-MAY-2021,40.84,10.18,2.92
NIFTY FMCG,05-MAY-2021,40.87,10.2,2.91
NIFTY FMCG,06-MAY-2021,41.04,10.25,2.9
NIFTY FMCG,07-MAY-2021,41.13,10.27,2.89
NIFTY FMCG,10-MAY-2021,40.92,10.3,2.89
NIFTY FMCG,11-MAY-2021,40.76,10.27,2.91
NIFTY FMCG,12-MAY-2021,40.67,10.25,2.92
NIFTY FMCG,14-MAY-2021,41.41,10.47,2.86
NIFTY FMCG,17-MAY-2021,41.44,10.48,2.86
NIFTY FMCG,18-MAY-2021,41.36,10.46,2.86
NIFTY FMCG,19-MAY-2021,41.22,10.45,2.86
NIFTY FMCG,20-MAY-2021,40.92,10.38,2.88
NIFTY FMCG,21-MAY-2021,41.17,10.44,2.87
NIFTY FMCG,24-MAY-2021,41.03,10.41,2.88
NIFTY FMCG,25-MAY-2021,41.13,10.47,2.93
NIFTY FMCG,26-MAY-2021,41.17,10.48,2.93
NIFTY FMCG,27-MAY-2021,41.09,10.48,2.93
NIFTY FMCG,28-MAY-2021,41.19,10.5,2.92
NIFTY FMCG,31-MAY-2021,41.6,8.77,2.89
NIFTY FMCG,01-JUN-2021,41.6,8.77,2.86
NIFTY FMCG,02-JUN-2021,41.38,8.72,2.88
NIFTY FMCG,03-JUN-2021,41.8,8.78,2.86
NIFTY FMCG,04-JUN-2021,41.65,8.74,2.87
NIFTY FMCG,07-JUN-2021,41.93,8.8,2.85
NIFTY FMCG,08-JUN-2021,42.29,8.88,2.83
NIFTY FMCG,09-JUN-2021,42.19,8.86,2.83
NIFTY FMCG,10-JUN-2021,42.36,8.89,3.51
NIFTY FMCG,11-JUN-2021,42.26,8.87,3.49
NIFTY FMCG,14-JUN-2021,42.27,8.87,3.69
