Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY IT,01-JAN-2021,32.98,8.5,1.73
NIFTY IT,04-JAN-2021,33.87,8.73,1.68
NIFTY IT,05-JAN-2021,34.76,8.96,1.64
NIFTY IT,06-JAN-2021,34.28,8.84,1.66
NIFTY IT,07-JAN-2021,34.06,8.78,1.67
NIFTY IT,08-JAN-2021,35.29,9.1,1.61
NIFTY IT,11-JAN-2021,36.01,9.4,1.56
NIFTY IT,12-JAN-2021,35.95,9.38,1.56
NIFTY IT,13-JAN-2021,35.98,9.39,1.56
NIFTY IT,14-JAN-2021,35.93,9.38,1.56
NIFTY IT,15-JAN-2021,34.41,9.17,1.6
NIFTY IT,18-JAN-2021,33.83,9.01,1.63
NIFTY IT,19-JAN-2021,33.62,9.06,1.62
NIFTY IT,20-JAN-2021,34.26,9.26,1.58
NIFTY IT,21-JAN-2021,33.95,9.2,1.6
NIFTY IT,22-JAN-2021,34,9.21,1.59
NIFTY IT,25-JAN-2021,33.4,9.05,1.62
NIFTY IT,27-JAN-2021,33.14,8.99,1.63
NIFTY IT,28-JAN-2021,32.42,8.8,1.67
NIFTY IT,29-JAN-2021,31.58,8.57,1.71
NIFTY IT,01-FEB-2021,32,8.67,1.69
NIFTY IT,02-FEB-2021,32.34,8.85,1.66
NIFTY IT,03-FEB-2021,32.63,8.93,1.64
NIFTY IT,04-FEB-2021,32.49,8.89,1.65
NIFTY IT,05-FEB-2021,32.19,8.81,1.67
NIFTY IT,08-FEB-2021,32.93,9.01,1.63
NIFTY IT,09-FEB-2021,32.76,8.96,1.64
NIFTY IT,10-FEB-2021,32.89,9,1.63
NIFTY IT,11-FEB-2021,33.09,9.06,1.62
NIFTY IT,12-FEB-2021,33.16,9.07,1.62
NIFTY IT,15-FEB-2021,33.04,9.04,1.62
NIFTY IT,16-FEB-2021,32.58,8.91,1.65
NIFTY IT,17-FEB-2021,32.15,8.79,1.67
NIFTY IT,18-FEB-2021,32.58,8.91,1.65
NIFTY IT,19-FEB-2021,32.43,8.87,1.65
NIFTY IT,22-FEB-2021,31.5,8.61,1.7
NIFTY IT,23-FEB-2021,31.55,8.63,1.7
NIFTY IT,24-FEB-2021,31.51,8.62,1.7
NIFTY IT,25-FEB-2021,31.63,8.65,1.7
NIFTY IT,26-FEB-2021,30.91,8.45,1.74
NIFTY IT,01-MAR-2021,31.23,8.54,1.72
NIFTY IT,02-MAR-2021,32.18,8.8,1.67
NIFTY IT,03-MAR-2021,32.78,8.96,1.64
NIFTY IT,04-MAR-2021,32.6,8.91,1.65
NIFTY IT,05-MAR-2021,32.09,8.77,1.67
NIFTY IT,08-MAR-2021,32.24,8.81,1.66
NIFTY IT,09-MAR-2021,32.54,8.9,1.65
NIFTY IT,10-MAR-2021,33.08,9.04,1.62
NIFTY IT,12-MAR-2021,32.92,9,1.63
NIFTY IT,15-MAR-2021,33.11,9.05,1.62
NIFTY IT,16-MAR-2021,33.53,9.17,1.6
NIFTY IT,17-MAR-2021,33.3,9.1,1.61
NIFTY IT,18-MAR-2021,32.27,8.82,1.66
NIFTY IT,19-MAR-2021,32.51,8.89,1.65
NIFTY IT,22-MAR-2021,33.11,9.05,1.62
NIFTY IT,23-MAR-2021,33.2,9.08,1.62
NIFTY IT,24-MAR-2021,32.82,8.97,1.64
NIFTY IT,25-MAR-2021,32.1,8.78,1.67
NIFTY IT,26-MAR-2021,32.28,8.83,1.66
NIFTY IT,30-MAR-2021,33.22,9.08,1.62
NIFTY IT,31-MAR-2021,28.65,8.32,1.29
NIFTY IT,01-APR-2021,28.79,8.36,1.29
NIFTY IT,05-APR-2021,29.36,8.52,1.26
NIFTY IT,06-APR-2021,29.4,8.54,1.26
NIFTY IT,07-APR-2021,29.73,8.63,1.24
NIFTY IT,08-APR-2021,30.09,8.73,1.23
NIFTY IT,09-APR-2021,30.33,8.8,1.22
NIFTY IT,12-APR-2021,29.62,8.6,1.25
NIFTY IT,13-APR-2021,28.43,8.32,1.29
NIFTY IT,15-APR-2021,28.34,8.37,1.28
NIFTY IT,16-APR-2021,28.46,8.47,1.27
NIFTY IT,19-APR-2021,28.27,8.44,1.27
NIFTY IT,20-APR-2021,27.88,8.32,1.29
NIFTY IT,22-APR-2021,27.82,8.31,1.29
NIFTY IT,23-APR-2021,27.59,8.24,1.3
NIFTY IT,26-APR-2021,27.67,8.26,1.3
NIFTY IT,27-APR-2021,28.42,8.3,1.29
NIFTY IT,28-APR-2021,28.32,8.35,1.29
NIFTY IT,29-APR-2021,28.22,8.32,1.45
NIFTY IT,30-APR-2021,27.99,8.26,1.46
