Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY METAL,02-JAN-2017,39.2,1.17,3.88
NIFTY METAL,03-JAN-2017,39.34,1.17,3.87
NIFTY METAL,04-JAN-2017,39.29,1.17,3.87
NIFTY METAL,05-JAN-2017,40.55,1.21,3.75
NIFTY METAL,06-JAN-2017,40.54,1.21,3.75
NIFTY METAL,09-JAN-2017,40.48,1.2,3.76
NIFTY METAL,10-JAN-2017,40.93,1.22,3.71
NIFTY METAL,11-JAN-2017,42.7,1.27,3.55
NIFTY METAL,12-JAN-2017,42.75,1.28,3.55
NIFTY METAL,13-JAN-2017,42.66,1.27,3.56
NIFTY METAL,16-JAN-2017,43.08,1.29,3.52
NIFTY METAL,17-JAN-2017,42.44,1.27,3.58
NIFTY METAL,18-JAN-2017,43.45,1.3,3.49
NIFTY METAL,19-JAN-2017,43.44,1.3,3.49
NIFTY METAL,20-JAN-2017,42.39,1.26,3.58
NIFTY METAL,23-JAN-2017,43.55,1.3,3.49
NIFTY METAL,24-JAN-2017,44.25,1.32,3.43
NIFTY METAL,25-JAN-2017,44.93,1.34,3.38
NIFTY METAL,27-JAN-2017,44.94,1.34,3.38
NIFTY METAL,30-JAN-2017,44.86,1.34,3.38
NIFTY METAL,31-JAN-2017,44.36,1.32,3.42
NIFTY METAL,01-FEB-2017,45.44,1.36,3.34
NIFTY METAL,02-FEB-2017,29.08,1.36,3.34
NIFTY METAL,03-FEB-2017,28.91,1.35,3.36
NIFTY METAL,06-FEB-2017,28.82,1.35,3.37
NIFTY METAL,07-FEB-2017,28.45,1.33,3.41
NIFTY METAL,08-FEB-2017,28.7,1.34,3.38
NIFTY METAL,09-FEB-2017,28.5,1.33,3.4
NIFTY METAL,10-FEB-2017,27.58,1.33,3.42
NIFTY METAL,13-FEB-2017,27.63,1.35,3.47
NIFTY METAL,14-FEB-2017,27.38,1.33,3.5
NIFTY METAL,15-FEB-2017,27.05,1.31,3.55
NIFTY METAL,16-FEB-2017,27.63,1.34,3.48
NIFTY METAL,17-FEB-2017,27.42,1.33,3.5
NIFTY METAL,20-FEB-2017,25.66,1.36,3.43
NIFTY METAL,21-FEB-2017,25.75,1.36,3.42
NIFTY METAL,22-FEB-2017,25.12,1.36,3.44
NIFTY METAL,23-FEB-2017,25.23,1.36,3.43
NIFTY METAL,27-FEB-2017,24.98,1.36,3.48
NIFTY METAL,28-FEB-2017,25.11,1.36,3.46
NIFTY METAL,01-MAR-2017,25.57,1.39,3.4
NIFTY METAL,02-MAR-2017,25.42,1.38,3.42
NIFTY METAL,03-MAR-2017,25.59,1.39,3.4
NIFTY METAL,06-MAR-2017,25.61,1.39,3.4
NIFTY METAL,07-MAR-2017,25.16,1.37,3.46
NIFTY METAL,08-MAR-2017,24.68,1.34,3.52
NIFTY METAL,09-MAR-2017,24.51,1.33,3.55
NIFTY METAL,10-MAR-2017,24.37,1.32,3.57
NIFTY METAL,14-MAR-2017,24.35,1.32,3.57
NIFTY METAL,15-MAR-2017,24.46,1.33,3.56
NIFTY METAL,16-MAR-2017,25.18,1.37,3.45
NIFTY METAL,17-MAR-2017,25.11,1.36,3.46
NIFTY METAL,20-MAR-2017,25.1,1.36,3.46
NIFTY METAL,21-MAR-2017,25.05,1.36,3.47
NIFTY METAL,22-MAR-2017,24.72,1.34,3.52
NIFTY METAL,23-MAR-2017,25,1.36,3.48
NIFTY METAL,24-MAR-2017,25.08,1.36,3.47
NIFTY METAL,27-MAR-2017,24.41,1.33,3.56
NIFTY METAL,28-MAR-2017,24.57,1.33,3.54
NIFTY METAL,29-MAR-2017,24.66,1.34,3.53
NIFTY METAL,30-MAR-2017,24.58,1.33,3.54
NIFTY METAL,31-MAR-2017,20.77,1.4,3.61
NIFTY METAL,03-APR-2017,20.84,1.4,3.6
NIFTY METAL,05-APR-2017,21.05,1.42,3.56
NIFTY METAL,06-APR-2017,21.11,1.42,3.55
NIFTY METAL,07-APR-2017,20.87,1.4,3.59
NIFTY METAL,10-APR-2017,21.06,1.42,3.56
NIFTY METAL,11-APR-2017,20.74,1.39,3.61
NIFTY METAL,12-APR-2017,20.6,1.39,3.64
NIFTY METAL,13-APR-2017,20.03,1.35,3.74
NIFTY METAL,17-APR-2017,19.81,1.33,3.78
NIFTY METAL,18-APR-2017,19.46,1.31,3.85
NIFTY METAL,18-APR-2017,19.46,1.31,3.85
NIFTY METAL,19-APR-2017,19.56,1.32,3.83
NIFTY METAL,20-APR-2017,19.59,1.32,3.83
NIFTY METAL,21-APR-2017,19.49,1.31,3.85
NIFTY METAL,24-APR-2017,19.9,1.34,3.76
NIFTY METAL,25-APR-2017,20.04,1.34,3.73
NIFTY METAL,26-APR-2017,20.12,1.35,3.71
NIFTY METAL,27-APR-2017,19.93,1.34,3.75
NIFTY METAL,28-APR-2017,20.24,1.36,3.69
NIFTY METAL,02-MAY-2017,20.12,1.35,3.72
NIFTY METAL,03-MAY-2017,20.07,1.35,3.72
NIFTY METAL,04-MAY-2017,19.92,1.34,3.75
NIFTY METAL,05-MAY-2017,19.43,1.3,3.85
NIFTY METAL,08-MAY-2017,19.27,1.31,3.92
NIFTY METAL,09-MAY-2017,19.42,1.32,3.89
NIFTY METAL,10-MAY-2017,19.57,1.33,3.86
NIFTY METAL,11-MAY-2017,19.68,1.34,3.84
NIFTY METAL,12-MAY-2017,19.66,1.34,3.85
