Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY MIDCAP 50,01-JAN-2024,21.54,3.59,1.05
NIFTY MIDCAP 50,02-JAN-2024,21.5,3.59,1.05
NIFTY MIDCAP 50,03-JAN-2024,21.54,3.59,1.05
NIFTY MIDCAP 50,04-JAN-2024,21.92,3.66,1.03
NIFTY MIDCAP 50,05-JAN-2024,21.93,3.66,1.03
NIFTY MIDCAP 50,08-JAN-2024,21.65,3.61,1.04
NIFTY MIDCAP 50,09-JAN-2024,21.59,3.6,1.05
NIFTY MIDCAP 50,10-JAN-2024,21.56,3.6,1.05
NIFTY MIDCAP 50,11-JAN-2024,21.62,3.61,1.04
NIFTY MIDCAP 50,12-JAN-2024,21.75,3.63,1.04
NIFTY MIDCAP 50,15-JAN-2024,21.93,3.66,1.03
NIFTY MIDCAP 50,16-JAN-2024,21.82,3.64,1.03
NIFTY MIDCAP 50,17-JAN-2024,21.54,3.6,1.05
NIFTY MIDCAP 50,18-JAN-2024,21.55,3.61,1.04
NIFTY MIDCAP 50,19-JAN-2024,21.82,3.66,1.03
NIFTY MIDCAP 50,20-JAN-2024,21.86,3.66,1.03
NIFTY MIDCAP 50,23-JAN-2024,21.17,3.55,1.06
NIFTY MIDCAP 50,24-JAN-2024,21.67,3.63,1.04
NIFTY MIDCAP 50,25-JAN-2024,21.41,3.6,1.03
NIFTY MIDCAP 50,29-JAN-2024,21.64,3.68,1.01
NIFTY MIDCAP 50,30-JAN-2024,21.4,3.66,1.03
NIFTY MIDCAP 50,31-JAN-2024,21.56,3.7,1.02
NIFTY MIDCAP 50,01-FEB-2024,21.4,3.68,1.03
NIFTY MIDCAP 50,02-FEB-2024,21.6,3.71,1.02
NIFTY MIDCAP 50,05-FEB-2024,21.93,3.72,1.02
NIFTY MIDCAP 50,06-FEB-2024,22.03,3.77,1
NIFTY MIDCAP 50,07-FEB-2024,22.07,3.78,1.07
NIFTY MIDCAP 50,08-FEB-2024,22.13,3.79,1.07
NIFTY MIDCAP 50,09-FEB-2024,21.84,3.76,1.04
NIFTY MIDCAP 50,12-FEB-2024,21.12,3.69,1.06
NIFTY MIDCAP 50,13-FEB-2024,20.98,3.7,1.06
NIFTY MIDCAP 50,14-FEB-2024,21.15,3.74,1.05
NIFTY MIDCAP 50,15-FEB-2024,21.38,3.78,1.04
NIFTY MIDCAP 50,16-FEB-2024,21.57,3.81,1.05
NIFTY MIDCAP 50,19-FEB-2024,21.47,3.81,1.02
NIFTY MIDCAP 50,20-FEB-2024,21.41,3.8,1.08
NIFTY MIDCAP 50,21-FEB-2024,21.15,3.75,1.1
NIFTY MIDCAP 50,22-FEB-2024,21.37,3.79,1.09
NIFTY MIDCAP 50,23-FEB-2024,21.53,3.82,1.09
NIFTY MIDCAP 50,26-FEB-2024,21.4,3.8,1.03
NIFTY MIDCAP 50,27-FEB-2024,21.32,3.78,1.08
NIFTY MIDCAP 50,28-FEB-2024,20.84,3.7,1.11
NIFTY MIDCAP 50,29-FEB-2024,21.03,3.73,1.1
NIFTY MIDCAP 50,01-MAR-2024,21.27,3.77,1.09
NIFTY MIDCAP 50,02-MAR-2024,21.39,3.79,1.08
NIFTY MIDCAP 50,04-MAR-2024,21.51,3.81,1.07
