Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY NEXT 50,02-JAN-2017,25.27,3.32,1.68
NIFTY NEXT 50,03-JAN-2017,25.47,3.34,1.66
NIFTY NEXT 50,04-JAN-2017,25.54,3.34,1.67
NIFTY NEXT 50,05-JAN-2017,25.95,3.39,1.64
NIFTY NEXT 50,06-JAN-2017,25.89,3.38,1.64
NIFTY NEXT 50,09-JAN-2017,25.9,3.39,1.64
NIFTY NEXT 50,10-JAN-2017,26.05,3.42,1.63
NIFTY NEXT 50,11-JAN-2017,26.38,3.46,1.6
NIFTY NEXT 50,12-JAN-2017,26.47,3.48,1.6
NIFTY NEXT 50,13-JAN-2017,26.5,3.48,1.6
NIFTY NEXT 50,16-JAN-2017,26.66,3.5,1.59
NIFTY NEXT 50,17-JAN-2017,26.6,3.5,1.59
NIFTY NEXT 50,18-JAN-2017,26.75,3.52,1.58
NIFTY NEXT 50,19-JAN-2017,26.82,3.53,1.57
NIFTY NEXT 50,20-JAN-2017,26.43,3.48,1.6
NIFTY NEXT 50,23-JAN-2017,26.45,3.51,1.58
NIFTY NEXT 50,24-JAN-2017,26.74,3.55,1.57
NIFTY NEXT 50,25-JAN-2017,27.09,3.6,1.55
NIFTY NEXT 50,27-JAN-2017,27.24,3.61,1.54
NIFTY NEXT 50,30-JAN-2017,27.47,3.63,1.53
NIFTY NEXT 50,31-JAN-2017,27.02,3.58,1.55
NIFTY NEXT 50,01-FEB-2017,27.56,3.65,1.52
NIFTY NEXT 50,02-FEB-2017,25.36,3.68,1.51
NIFTY NEXT 50,03-FEB-2017,25.13,3.68,1.51
NIFTY NEXT 50,06-FEB-2017,25.43,3.72,1.49
NIFTY NEXT 50,07-FEB-2017,25.21,3.71,1.5
NIFTY NEXT 50,08-FEB-2017,25.34,3.73,1.49
NIFTY NEXT 50,09-FEB-2017,25.38,3.73,1.49
NIFTY NEXT 50,10-FEB-2017,25.14,3.72,1.49
NIFTY NEXT 50,13-FEB-2017,25.14,3.72,1.49
NIFTY NEXT 50,14-FEB-2017,24.91,3.68,1.51
NIFTY NEXT 50,15-FEB-2017,24.5,3.64,1.53
NIFTY NEXT 50,16-FEB-2017,24.93,3.7,1.5
NIFTY NEXT 50,17-FEB-2017,25.12,3.73,1.49
NIFTY NEXT 50,20-FEB-2017,25.46,3.75,1.48
NIFTY NEXT 50,21-FEB-2017,25.68,3.78,1.47
NIFTY NEXT 50,22-FEB-2017,25.14,3.76,1.48
NIFTY NEXT 50,23-FEB-2017,25.05,3.75,1.48
NIFTY NEXT 50,27-FEB-2017,24.94,3.74,1.5
NIFTY NEXT 50,28-FEB-2017,25.02,3.75,1.49
NIFTY NEXT 50,01-MAR-2017,25.04,3.75,1.49
NIFTY NEXT 50,02-MAR-2017,24.68,3.7,1.51
NIFTY NEXT 50,03-MAR-2017,24.67,3.7,1.51
NIFTY NEXT 50,06-MAR-2017,24.81,3.72,1.51
NIFTY NEXT 50,07-MAR-2017,24.79,3.72,1.51
NIFTY NEXT 50,08-MAR-2017,24.7,3.7,1.51
NIFTY NEXT 50,09-MAR-2017,24.67,3.7,1.51
NIFTY NEXT 50,10-MAR-2017,24.62,3.69,1.52
NIFTY NEXT 50,14-MAR-2017,25.01,3.75,1.49
NIFTY NEXT 50,15-MAR-2017,25.17,3.77,1.51
NIFTY NEXT 50,16-MAR-2017,25.52,3.82,1.49
NIFTY NEXT 50,17-MAR-2017,25.51,3.82,1.49
NIFTY NEXT 50,20-MAR-2017,25.51,3.82,1.49
NIFTY NEXT 50,21-MAR-2017,25.37,3.8,1.5
NIFTY NEXT 50,22-MAR-2017,25.13,3.76,1.52
NIFTY NEXT 50,23-MAR-2017,25.39,3.8,1.5
NIFTY NEXT 50,24-MAR-2017,25.4,3.8,1.5
NIFTY NEXT 50,27-MAR-2017,25.29,3.78,1.51
NIFTY NEXT 50,28-MAR-2017,25.48,3.81,1.49
NIFTY NEXT 50,29-MAR-2017,25.5,3.82,1.49
NIFTY NEXT 50,30-MAR-2017,25.61,3.83,1.49
NIFTY NEXT 50,31-MAR-2017,27.19,3.47,1.34
NIFTY NEXT 50,03-APR-2017,27.29,3.48,1.34
NIFTY NEXT 50,05-APR-2017,27.58,3.52,1.32
NIFTY NEXT 50,06-APR-2017,27.67,3.53,1.32
NIFTY NEXT 50,07-APR-2017,27.66,3.53,1.32
NIFTY NEXT 50,10-APR-2017,27.85,3.56,1.31
NIFTY NEXT 50,11-APR-2017,28,3.57,1.3
