Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY SMALLCAP 50,03-JAN-2022,34.05,3.78,0.85
NIFTY SMALLCAP 50,04-JAN-2022,34.12,3.79,0.85
NIFTY SMALLCAP 50,05-JAN-2022,34.08,3.78,0.85
NIFTY SMALLCAP 50,06-JAN-2022,34.03,3.78,0.85
NIFTY SMALLCAP 50,07-JAN-2022,33.98,3.77,0.85
NIFTY SMALLCAP 50,10-JAN-2022,34.45,3.82,0.84
NIFTY SMALLCAP 50,11-JAN-2022,34.36,3.81,0.84
NIFTY SMALLCAP 50,12-JAN-2022,34.59,3.84,0.84
NIFTY SMALLCAP 50,13-JAN-2022,34.8,3.86,0.83
NIFTY SMALLCAP 50,14-JAN-2022,34.92,3.87,0.83
NIFTY SMALLCAP 50,17-JAN-2022,35.02,3.89,0.83
NIFTY SMALLCAP 50,18-JAN-2022,34.17,3.79,0.85
NIFTY SMALLCAP 50,19-JAN-2022,34.26,3.8,0.84
NIFTY SMALLCAP 50,20-JAN-2022,34.11,3.78,0.85
NIFTY SMALLCAP 50,21-JAN-2022,34.18,3.69,0.87
NIFTY SMALLCAP 50,24-JAN-2022,32.42,3.51,0.92
NIFTY SMALLCAP 50,25-JAN-2022,32.61,3.55,0.9
NIFTY SMALLCAP 50,27-JAN-2022,32.28,3.51,0.91
NIFTY SMALLCAP 50,28-JAN-2022,32.67,3.55,0.88
NIFTY SMALLCAP 50,31-JAN-2022,33.05,3.6,0.86
NIFTY SMALLCAP 50,01-FEB-2022,33.45,3.62,0.85
NIFTY SMALLCAP 50,02-FEB-2022,34.01,3.68,0.84
NIFTY SMALLCAP 50,03-FEB-2022,33.54,3.66,0.88
NIFTY SMALLCAP 50,04-FEB-2022,32.87,3.6,0.93
NIFTY SMALLCAP 50,07-FEB-2022,32.28,3.53,0.95
NIFTY SMALLCAP 50,08-FEB-2022,31.78,3.47,0.97
NIFTY SMALLCAP 50,09-FEB-2022,32,3.5,0.96
NIFTY SMALLCAP 50,10-FEB-2022,32.53,3.53,0.96
NIFTY SMALLCAP 50,11-FEB-2022,31.62,3.45,0.98
