Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY 50,01-JAN-2025,21.88,3.54,1.27
NIFTY 50,02-JAN-2025,22.29,3.61,1.25
NIFTY 50,03-JAN-2025,22.12,3.58,1.26
NIFTY 50,06-JAN-2025,21.76,3.52,1.28
NIFTY 50,07-JAN-2025,21.84,3.54,1.27
NIFTY 50,08-JAN-2025,21.83,3.53,1.27
NIFTY 50,09-JAN-2025,21.68,3.51,1.28
NIFTY 50,10-JAN-2025,21.59,3.49,1.28
NIFTY 50,13-JAN-2025,21.25,3.44,1.3
NIFTY 50,14-JAN-2025,21.34,3.46,1.3
NIFTY 50,15-JAN-2025,21.37,3.46,1.3
NIFTY 50,16-JAN-2025,21.46,3.48,1.29
NIFTY 50,17-JAN-2025,21.36,3.46,1.39
NIFTY 50,20-JAN-2025,21.4,3.48,1.34
NIFTY 50,21-JAN-2025,21.07,3.43,1.36
NIFTY 50,22-JAN-2025,21.19,3.45,1.35
NIFTY 50,23-JAN-2025,21.24,3.46,1.35
NIFTY 50,24-JAN-2025,21.09,3.44,1.35
NIFTY 50,27-JAN-2025,20.85,3.4,1.37
NIFTY 50,28-JAN-2025,20.85,3.42,1.38
NIFTY 50,29-JAN-2025,21.06,3.45,1.38
NIFTY 50,30-JAN-2025,21.12,3.47,1.37
NIFTY 50,31-JAN-2025,21.33,3.51,1.38
NIFTY 50,01-FEB-2025,21.29,3.5,1.38
NIFTY 50,03-FEB-2025,21.22,3.48,1.39
NIFTY 50,04-FEB-2025,21.56,3.54,1.37
NIFTY 50,05-FEB-2025,21.52,3.53,1.37
NIFTY 50,06-FEB-2025,21.45,3.52,1.38
NIFTY 50,07-FEB-2025,21.41,3.51,1.41
NIFTY 50,10-FEB-2025,20.82,3.48,1.36
NIFTY 50,11-FEB-2025,20.53,3.43,1.38
NIFTY 50,12-FEB-2025,20.52,3.43,1.45
NIFTY 50,13-FEB-2025,20.51,3.43,1.45
NIFTY 50,14-FEB-2025,20.42,3.41,1.46
NIFTY 50,17-FEB-2025,20.44,3.42,1.42
NIFTY 50,18-FEB-2025,20.4,3.42,1.42
NIFTY 50,19-FEB-2025,20.38,3.41,1.42
NIFTY 50,20-FEB-2025,20.37,3.41,1.41
NIFTY 50,21-FEB-2025,20.26,3.39,1.41
NIFTY 50,24-FEB-2025,20.05,3.36,1.42
NIFTY 50,25-FEB-2025,20.04,3.36,1.42
NIFTY 50,27-FEB-2025,20.04,3.36,1.42
NIFTY 50,28-FEB-2025,19.67,3.29,1.45
NIFTY 50,03-MAR-2025,19.66,3.29,1.45
NIFTY 50,04-MAR-2025,19.63,3.29,1.45
NIFTY 50,05-MAR-2025,19.86,3.33,1.44
NIFTY 50,06-MAR-2025,20.04,3.36,1.42
NIFTY 50,07-MAR-2025,20.05,3.36,1.42
NIFTY 50,10-MAR-2025,19.96,3.34,1.43
NIFTY 50,11-MAR-2025,20,3.35,1.43
NIFTY 50,12-MAR-2025,19.97,3.34,1.43
NIFTY 50,13-MAR-2025,19.91,3.33,1.44
NIFTY 50,17-MAR-2025,20.01,3.35,1.43
NIFTY 50,18-MAR-2025,20.3,3.4,1.41
NIFTY 50,19-MAR-2025,20.36,3.41,1.41
NIFTY 50,20-MAR-2025,20.61,3.45,1.39
NIFTY 50,21-MAR-2025,20.76,3.48,1.38
NIFTY 50,24-MAR-2025,21.03,3.52,1.36
NIFTY 50,25-MAR-2025,21.04,3.52,1.36
NIFTY 50,26-MAR-2025,20.88,3.5,1.37
NIFTY 50,27-MAR-2025,20.97,3.51,1.36
NIFTY 50,28-MAR-2025,21.37,3.48,1.32
NIFTY 50,01-APR-2025,21.05,3.43,1.34
NIFTY 50,02-APR-2025,21.2,3.45,1.33
NIFTY 50,03-APR-2025,21.13,3.44,1.33
NIFTY 50,04-APR-2025,20.82,3.39,1.35
NIFTY 50,07-APR-2025,20.14,3.28,1.4
NIFTY 50,08-APR-2025,20.48,3.33,1.37
NIFTY 50,09-APR-2025,20.36,3.31,1.38
NIFTY 50,11-APR-2025,20.75,3.38,1.36
NIFTY 50,15-APR-2025,21.2,3.45,1.33
NIFTY 50,15-APR-2025,21.2,3.45,1.33
NIFTY 50,16-APR-2025,21.3,3.47,1.32
NIFTY 50,17-APR-2025,21.68,3.53,1.3
NIFTY 50,21-APR-2025,21.93,3.57,1.28
NIFTY 50,22-APR-2025,21.97,3.57,1.28
