Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY AUTO,02-JAN-2023,38.47,4.91,1.01
NIFTY AUTO,03-JAN-2023,38.31,4.89,1.02
NIFTY AUTO,04-JAN-2023,37.99,4.85,1.03
NIFTY AUTO,05-JAN-2023,38.43,4.91,1.01
NIFTY AUTO,06-JAN-2023,38.35,4.9,1.02
NIFTY AUTO,09-JAN-2023,38.82,4.96,1
NIFTY AUTO,10-JAN-2023,38.93,4.97,1
NIFTY AUTO,11-JAN-2023,38.73,4.95,1.01
NIFTY AUTO,12-JAN-2023,38.78,4.95,1
NIFTY AUTO,13-JAN-2023,38.97,4.98,1
NIFTY AUTO,16-JAN-2023,38.71,4.94,1.01
NIFTY AUTO,17-JAN-2023,38.93,4.97,1
NIFTY AUTO,18-JAN-2023,38.92,4.97,1
NIFTY AUTO,19-JAN-2023,38.76,4.95,1.01
NIFTY AUTO,20-JAN-2023,38.54,4.92,1.01
NIFTY AUTO,23-JAN-2023,38.86,4.96,1
NIFTY AUTO,24-JAN-2023,39.36,5.03,0.99
NIFTY AUTO,25-JAN-2023,37.8,5.03,0.99
NIFTY AUTO,27-JAN-2023,33.76,5.08,0.98
NIFTY AUTO,30-JAN-2023,33.73,5.07,0.98
NIFTY AUTO,31-JAN-2023,34.36,5.17,0.96
NIFTY AUTO,01-FEB-2023,34.06,5.12,0.97
NIFTY AUTO,02-FEB-2023,34.08,5.12,0.99
NIFTY AUTO,03-FEB-2023,34.08,5.19,0.98
NIFTY AUTO,06-FEB-2023,34.04,5.18,0.98
NIFTY AUTO,07-FEB-2023,33.76,5.13,0.99
NIFTY AUTO,08-FEB-2023,33.84,5.14,0.99
NIFTY AUTO,09-FEB-2023,33.64,5.12,1
NIFTY AUTO,10-FEB-2023,33.62,5.13,0.99
NIFTY AUTO,13-FEB-2023,33.4,5.1,1
NIFTY AUTO,14-FEB-2023,32.75,5.08,1
NIFTY AUTO,15-FEB-2023,33.08,5.13,0.99
NIFTY AUTO,16-FEB-2023,33.08,5.12,1
NIFTY AUTO,17-FEB-2023,32.83,5.09,1.14
NIFTY AUTO,20-FEB-2023,32.92,5.1,1.14
NIFTY AUTO,21-FEB-2023,32.85,5.09,0.99
NIFTY AUTO,22-FEB-2023,32.45,5.03,1.03
NIFTY AUTO,23-FEB-2023,32.43,5.03,1.03
NIFTY AUTO,24-FEB-2023,32.15,4.98,1.04
NIFTY AUTO,27-FEB-2023,31.67,4.91,1.06
NIFTY AUTO,28-FEB-2023,31.81,4.93,1.05
NIFTY AUTO,01-MAR-2023,32.1,4.98,1.04
NIFTY AUTO,02-MAR-2023,31.82,4.93,1.05
NIFTY AUTO,03-MAR-2023,31.94,4.95,1.05
NIFTY AUTO,06-MAR-2023,32.25,5,1.04
NIFTY AUTO,08-MAR-2023,32.53,5.04,1.03
NIFTY AUTO,09-MAR-2023,31.93,4.95,1.05
NIFTY AUTO,10-MAR-2023,31.83,4.94,1.05
NIFTY AUTO,13-MAR-2023,31.12,4.82,1.08
NIFTY AUTO,14-MAR-2023,30.84,4.78,1.09
NIFTY AUTO,15-MAR-2023,30.68,4.76,1.09
NIFTY AUTO,16-MAR-2023,30.74,4.77,1.09
NIFTY AUTO,17-MAR-2023,30.59,4.74,1.1
NIFTY AUTO,20-MAR-2023,30.31,4.7,1.11
NIFTY AUTO,21-MAR-2023,30.33,4.7,1.11
NIFTY AUTO,22-MAR-2023,30.48,4.73,1.1
NIFTY AUTO,23-MAR-2023,30.49,4.73,1.1
NIFTY AUTO,24-MAR-2023,30.26,4.69,1.11
NIFTY AUTO,27-MAR-2023,30.07,4.66,1.1
NIFTY AUTO,28-MAR-2023,29.77,4.62,1.11
NIFTY AUTO,29-MAR-2023,30.28,4.7,1.09
NIFTY AUTO,31-MAR-2023,30.99,4.69,1.09
NIFTY AUTO,03-APR-2023,31.45,4.76,1.07
NIFTY AUTO,05-APR-2023,31.27,4.73,1.08
NIFTY AUTO,06-APR-2023,31.56,4.78,1.07
NIFTY AUTO,10-APR-2023,31.93,4.83,1.05
NIFTY AUTO,11-APR-2023,32.25,4.88,1.04
NIFTY AUTO,12-APR-2023,32.55,4.93,1.03
NIFTY AUTO,13-APR-2023,32.69,5,1.03
NIFTY AUTO,17-APR-2023,32.89,5.03,1.02
NIFTY AUTO,18-APR-2023,32.91,5.03,1.02
NIFTY AUTO,19-APR-2023,32.91,5.03,1.02
NIFTY AUTO,20-APR-2023,32.98,5.04,1.02
NIFTY AUTO,21-APR-2023,32.64,4.99,1.03
NIFTY AUTO,24-APR-2023,32.63,4.99,1.03
NIFTY AUTO,25-APR-2023,32.66,4.99,1.03
NIFTY AUTO,26-APR-2023,32.83,5.02,1.02
NIFTY AUTO,27-APR-2023,32.95,5.06,1.02
NIFTY AUTO,28-APR-2023,33.25,5.1,1.01
