Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY FMCG,01-JAN-2020,38.08,10.65,1.33
NIFTY FMCG,02-JAN-2020,38.12,10.66,1.33
NIFTY FMCG,03-JAN-2020,37.93,10.61,1.33
NIFTY FMCG,06-JAN-2020,37.54,10.5,1.35
NIFTY FMCG,07-JAN-2020,37.61,10.52,1.34
NIFTY FMCG,08-JAN-2020,37.65,10.53,1.34
NIFTY FMCG,09-JAN-2020,37.94,10.61,1.33
NIFTY FMCG,10-JAN-2020,38.26,10.7,1.32
NIFTY FMCG,13-JAN-2020,38.69,10.82,1.31
NIFTY FMCG,14-JAN-2020,39.23,10.97,1.29
NIFTY FMCG,15-JAN-2020,39.35,11,1.29
NIFTY FMCG,16-JAN-2020,39.47,11.04,1.28
NIFTY FMCG,17-JAN-2020,39.52,11.05,1.28
NIFTY FMCG,20-JAN-2020,39.59,11.07,1.28
NIFTY FMCG,21-JAN-2020,39.23,10.97,1.29
NIFTY FMCG,22-JAN-2020,39.24,10.98,1.29
NIFTY FMCG,23-JAN-2020,39.33,11,1.29
NIFTY FMCG,24-JAN-2020,39.65,11.09,1.28
NIFTY FMCG,27-JAN-2020,39.24,10.97,1.29
NIFTY FMCG,28-JAN-2020,39.01,10.93,1.29
NIFTY FMCG,29-JAN-2020,39.51,11.07,1.28
NIFTY FMCG,30-JAN-2020,38.85,10.9,1.3
NIFTY FMCG,31-JAN-2020,38.64,10.84,1.3
NIFTY FMCG,01-FEB-2020,37.92,10.64,1.33
NIFTY FMCG,03-FEB-2020,38.19,10.72,1.32
NIFTY FMCG,04-FEB-2020,37.07,10.83,1.31
NIFTY FMCG,05-FEB-2020,37.29,10.9,1.3
NIFTY FMCG,06-FEB-2020,37.05,10.83,1.31
NIFTY FMCG,07-FEB-2020,37.15,10.85,1.3
NIFTY FMCG,10-FEB-2020,36.72,10.75,1.32
NIFTY FMCG,11-FEB-2020,36.59,10.71,1.32
NIFTY FMCG,12-FEB-2020,37.27,10.92,1.3
NIFTY FMCG,13-FEB-2020,37.33,10.93,1.29
NIFTY FMCG,14-FEB-2020,36.78,10.8,1.31
NIFTY FMCG,17-FEB-2020,36.58,10.74,1.32
NIFTY FMCG,18-FEB-2020,36.43,10.7,1.32
NIFTY FMCG,19-FEB-2020,37,10.86,1.3
NIFTY FMCG,20-FEB-2020,36.77,10.79,1.31
NIFTY FMCG,24-FEB-2020,36.18,10.62,1.33
NIFTY FMCG,25-FEB-2020,36.21,10.63,1.33
NIFTY FMCG,26-FEB-2020,35.96,10.56,1.34
NIFTY FMCG,27-FEB-2020,35.98,10.56,1.34
NIFTY FMCG,28-FEB-2020,35.17,10.33,1.37
NIFTY FMCG,02-MAR-2020,34.97,10.26,1.38
NIFTY FMCG,03-MAR-2020,35.29,10.36,1.37
NIFTY FMCG,04-MAR-2020,35.07,10.29,1.37
NIFTY FMCG,05-MAR-2020,35.44,10.4,1.36
NIFTY FMCG,06-MAR-2020,34.73,10.19,1.39
NIFTY FMCG,09-MAR-2020,33.67,9.88,1.43
NIFTY FMCG,11-MAR-2020,33.7,9.89,1.43
NIFTY FMCG,12-MAR-2020,31.3,9.19,1.54
NIFTY FMCG,13-MAR-2020,31.45,9.23,1.53
NIFTY FMCG,16-MAR-2020,29.65,8.7,1.63
NIFTY FMCG,17-MAR-2020,29.92,8.78,1.61
NIFTY FMCG,17-MAR-2020,29.92,8.78,1.61
NIFTY FMCG,18-MAR-2020,29.03,8.52,1.66
NIFTY FMCG,19-MAR-2020,27.92,8.14,1.72
NIFTY FMCG,20-MAR-2020,30.2,8.81,1.59
NIFTY FMCG,23-MAR-2020,27,7.87,1.77
NIFTY FMCG,25-MAR-2020,28.5,8.31,1.68
NIFTY FMCG,26-MAR-2020,29.91,8.72,1.6
NIFTY FMCG,27-MAR-2020,29.98,8.74,1.6
NIFTY FMCG,30-MAR-2020,30.09,8.77,1.59
NIFTY FMCG,31-MAR-2020,31.82,9.28,1.51
NIFTY FMCG,01-APR-2020,30.7,8.95,1.56
NIFTY FMCG,03-APR-2020,30.91,9.01,1.55
NIFTY FMCG,07-APR-2020,33.48,9.76,1.43
NIFTY FMCG,08-APR-2020,33.59,9.79,1.43
NIFTY FMCG,09-APR-2020,33.72,9.83,1.42
NIFTY FMCG,13-APR-2020,33.21,9.68,1.44
NIFTY FMCG,15-APR-2020,34.58,10.08,1.38
NIFTY FMCG,16-APR-2020,34.37,10.02,1.39
NIFTY FMCG,17-APR-2020,34.01,9.92,1.41
NIFTY FMCG,20-APR-2020,33.31,9.71,1.44
NIFTY FMCG,21-APR-2020,33.17,9.67,1.44
NIFTY FMCG,22-APR-2020,33.99,9.91,1.41
NIFTY FMCG,23-APR-2020,33.53,9.78,1.43
NIFTY FMCG,24-APR-2020,33.35,9.72,1.44
NIFTY FMCG,27-APR-2020,33.84,9.87,1.42
NIFTY FMCG,28-APR-2020,33.52,9.77,1.43
NIFTY FMCG,29-APR-2020,33.39,9.73,1.43
NIFTY FMCG,30-APR-2020,33.39,9.74,1.43
NIFTY FMCG,04-MAY-2020,32.16,9.37,1.49
NIFTY FMCG,05-MAY-2020,31.79,9.22,1.52
NIFTY FMCG,06-MAY-2020,31.19,9.04,1.54
NIFTY FMCG,07-MAY-2020,30.75,8.92,1.57
NIFTY FMCG,08-MAY-2020,31.34,9.09,1.54
NIFTY FMCG,11-MAY-2020,31.23,9.06,1.54
NIFTY FMCG,12-MAY-2020,31.46,9.12,1.53
NIFTY FMCG,13-MAY-2020,31.29,9.08,1.54
NIFTY FMCG,14-MAY-2020,32.02,9.15,1.53
NIFTY FMCG,15-MAY-2020,32.02,9.16,1.53
NIFTY FMCG,19-MAY-2020,31.95,9.13,1.53
NIFTY FMCG,20-MAY-2020,32.42,9.27,1.51
NIFTY FMCG,21-MAY-2020,33.19,9.47,1.47
NIFTY FMCG,22-MAY-2020,33.07,9.44,1.48
NIFTY FMCG,26-MAY-2020,33.33,9.55,1.46
NIFTY FMCG,27-MAY-2020,33.45,9.58,1.46
NIFTY FMCG,28-MAY-2020,33.84,9.66,1.45
NIFTY FMCG,29-MAY-2020,34.94,9.95,1.4
NIFTY FMCG,01-JUN-2020,35.27,10.04,1.39
NIFTY FMCG,02-JUN-2020,35.01,9.97,1.4
NIFTY FMCG,03-JUN-2020,35.21,10.03,1.39
NIFTY FMCG,04-JUN-2020,35.22,10.06,1.39
NIFTY FMCG,05-JUN-2020,35.13,10.03,1.39
NIFTY FMCG,08-JUN-2020,35.08,10.02,1.39
NIFTY FMCG,09-JUN-2020,35.11,10.03,1.39
NIFTY FMCG,10-JUN-2020,35.08,10.02,1.39
NIFTY FMCG,11-JUN-2020,34.59,9.88,1.41
NIFTY FMCG,12-JUN-2020,34.65,9.9,1.41
NIFTY FMCG,15-JUN-2020,34.13,9.75,1.43
NIFTY FMCG,16-JUN-2020,33.98,9.7,1.44
NIFTY FMCG,17-JUN-2020,33.81,9.66,1.45
NIFTY FMCG,18-JUN-2020,34.06,9.73,1.44
NIFTY FMCG,19-JUN-2020,34.14,9.75,1.43
NIFTY FMCG,22-JUN-2020,34.32,9.8,1.42
NIFTY FMCG,23-JUN-2020,34.9,9.97,1.4
NIFTY FMCG,24-JUN-2020,35.06,10.01,1.39
NIFTY FMCG,25-JUN-2020,35.8,10.23,1.37
NIFTY FMCG,26-JUN-2020,37.22,9.97,1.46
NIFTY FMCG,29-JUN-2020,37.49,10.05,1.45
NIFTY FMCG,30-JUN-2020,37.25,10.08,1.44
NIFTY FMCG,01-JUL-2020,37.45,10.13,1.43
NIFTY FMCG,02-JUL-2020,37.56,10.16,1.43
NIFTY FMCG,03-JUL-2020,37.82,10.23,1.42
NIFTY FMCG,06-JUL-2020,37.48,10.14,1.43
NIFTY FMCG,07-JUL-2020,37.33,10.1,1.44
NIFTY FMCG,08-JUL-2020,37.64,10.18,1.43
NIFTY FMCG,09-JUL-2020,37.51,10.15,1.43
NIFTY FMCG,10-JUL-2020,37.7,10.2,1.42
NIFTY FMCG,13-JUL-2020,38.18,10.33,1.41
NIFTY FMCG,14-JUL-2020,37.83,10.23,1.42
NIFTY FMCG,15-JUL-2020,38.09,10.3,1.41
NIFTY FMCG,16-JUL-2020,38.14,10.32,1.41
NIFTY FMCG,17-JUL-2020,38.45,10.4,1.4
NIFTY FMCG,20-JUL-2020,38.57,10.43,1.39
NIFTY FMCG,21-JUL-2020,37.94,10.35,1.4
NIFTY FMCG,22-JUL-2020,37.66,10.27,1.41
NIFTY FMCG,23-JUL-2020,37.63,10.29,1.41
NIFTY FMCG,24-JUL-2020,37.53,10.26,1.42
NIFTY FMCG,27-JUL-2020,37.29,10.2,1.42
NIFTY FMCG,28-JUL-2020,38.63,10.21,1.39
NIFTY FMCG,29-JUL-2020,39.1,10.21,1.38
NIFTY FMCG,30-JUL-2020,38.78,10.13,1.39
NIFTY FMCG,31-JUL-2020,38.97,10.19,1.38
NIFTY FMCG,03-AUG-2020,38.8,10.15,1.39
NIFTY FMCG,04-AUG-2020,38.98,10.2,1.38
NIFTY FMCG,05-AUG-2020,38.93,10.19,1.38
NIFTY FMCG,06-AUG-2020,39.44,10.33,1.36
NIFTY FMCG,07-AUG-2020,39.7,10.39,1.36
NIFTY FMCG,10-AUG-2020,39.86,10.44,1.35
NIFTY FMCG,11-AUG-2020,40.07,10.48,1.34
NIFTY FMCG,12-AUG-2020,39.9,10.44,1.35
NIFTY FMCG,13-AUG-2020,39.94,10.45,1.35
NIFTY FMCG,14-AUG-2020,39.4,10.31,1.37
NIFTY FMCG,17-AUG-2020,39.78,10.41,1.35
NIFTY FMCG,18-AUG-2020,40.01,10.47,1.35
NIFTY FMCG,19-AUG-2020,39.84,10.42,1.35
NIFTY FMCG,20-AUG-2020,39.65,9.57,1.41
