Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY IT,01-JAN-2026,26.86,7.09,2.93
NIFTY IT,02-JAN-2026,26.96,7.12,2.92
NIFTY IT,05-JAN-2026,26.58,7.02,2.97
NIFTY IT,06-JAN-2026,26.72,7.06,2.95
NIFTY IT,07-JAN-2026,27.22,7.19,2.9
NIFTY IT,08-JAN-2026,26.68,7.05,2.95
NIFTY IT,09-JAN-2026,26.76,7.07,2.95
NIFTY IT,12-JAN-2026,26.73,7.06,2.95
NIFTY IT,13-JAN-2026,26.9,7.1,2.93
NIFTY IT,14-JAN-2026,26.93,7.03,2.96
NIFTY IT,16-JAN-2026,27.83,7.26,3.32
NIFTY IT,19-JAN-2026,27.75,7.23,2.71
NIFTY IT,20-JAN-2026,27.17,7.08,2.77
NIFTY IT,21-JAN-2026,27.12,7.06,2.78
NIFTY IT,22-JAN-2026,27.31,7.12,2.76
NIFTY IT,23-JAN-2026,27.26,7.1,2.76
NIFTY IT,27-JAN-2026,27.44,7.15,2.92
NIFTY IT,28-JAN-2026,27.52,7.18,2.75
NIFTY IT,29-JAN-2026,27.31,7.13,2.78
NIFTY IT,30-JAN-2026,27.03,7.06,2.8
NIFTY IT,01-FEB-2026,27.18,7.1,2.77
NIFTY IT,02-FEB-2026,27.05,7.06,2.78
NIFTY IT,03-FEB-2026,27.43,7.16,2.74
NIFTY IT,04-FEB-2026,25.82,6.74,2.91
NIFTY IT,05-FEB-2026,25.68,6.7,2.93
NIFTY IT,06-FEB-2026,25.3,6.61,2.97
NIFTY IT,09-FEB-2026,25.31,6.61,2.97
NIFTY IT,10-FEB-2026,25.38,6.63,2.96
NIFTY IT,11-FEB-2026,24.94,6.51,3.02
NIFTY IT,12-FEB-2026,23.56,6.15,3.19
NIFTY IT,13-FEB-2026,23.22,6.06,3.24
NIFTY IT,16-FEB-2026,23.26,6.07,3.24
NIFTY IT,17-FEB-2026,23.5,6.14,3.2
NIFTY IT,18-FEB-2026,23.21,6.06,3.24
NIFTY IT,19-FEB-2026,22.96,6,3.28
NIFTY IT,20-FEB-2026,22.74,5.94,3.31
NIFTY IT,23-FEB-2026,22.42,5.85,3.36
NIFTY IT,24-FEB-2026,21.35,5.58,3.52
NIFTY IT,25-FEB-2026,21.69,5.66,3.47
NIFTY IT,26-FEB-2026,21.71,5.67,3.47
NIFTY IT,27-FEB-2026,21.74,5.68,3.46
NIFTY IT,02-MAR-2026,21.51,5.62,3.5
NIFTY IT,04-MAR-2026,21.53,5.62,3.49
NIFTY IT,05-MAR-2026,21.41,5.59,3.52
NIFTY IT,06-MAR-2026,21.41,5.59,3.51
NIFTY IT,09-MAR-2026,21.43,5.6,3.51
NIFTY IT,10-MAR-2026,21.33,5.57,3.53
NIFTY IT,11-MAR-2026,21.07,5.5,3.57
NIFTY IT,12-MAR-2026,21.02,5.49,3.58
NIFTY IT,13-MAR-2026,20.66,5.39,3.64
NIFTY IT,16-MAR-2026,20.64,5.39,3.65
NIFTY IT,17-MAR-2026,20.44,5.34,3.68
NIFTY IT,18-MAR-2026,21,5.48,3.58
NIFTY IT,19-MAR-2026,20.31,5.3,3.71
NIFTY IT,20-MAR-2026,20.75,5.42,3.63
NIFTY IT,23-MAR-2026,20.71,5.41,3.63
NIFTY IT,24-MAR-2026,21.07,5.5,3.57
NIFTY IT,25-MAR-2026,21.08,5.5,3.57
NIFTY IT,27-MAR-2026,20.99,5.48,3.59
NIFTY IT,30-MAR-2026,20.64,5.39,3.64
NIFTY IT,01-APR-2026,21.08,5.5,3.57
NIFTY IT,02-APR-2026,21.62,5.65,3.48
