Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY METAL,01-JAN-2016,14.76,0.69,3.78
NIFTY METAL,04-JAN-2016,14.55,0.68,3.83
NIFTY METAL,04-JAN-2016,14.55,0.68,3.83
NIFTY METAL,05-JAN-2016,15.02,0.7,3.71
NIFTY METAL,06-JAN-2016,14.75,0.69,3.78
NIFTY METAL,07-JAN-2016,14.05,0.66,3.97
NIFTY METAL,08-JAN-2016,14.12,0.66,3.95
NIFTY METAL,11-JAN-2016,14.08,0.66,3.96
NIFTY METAL,12-JAN-2016,13.91,0.65,4.01
NIFTY METAL,13-JAN-2016,13.81,0.64,4.04
NIFTY METAL,14-JAN-2016,13.58,0.63,4.11
NIFTY METAL,15-JAN-2016,13.1,0.61,4.26
NIFTY METAL,18-JAN-2016,12.96,0.6,4.31
NIFTY METAL,19-JAN-2016,13.04,0.61,4.28
NIFTY METAL,20-JAN-2016,12.63,0.59,4.42
NIFTY METAL,21-JAN-2016,12.52,0.58,4.46
NIFTY METAL,22-JAN-2016,13.08,0.61,4.27
NIFTY METAL,25-JAN-2016,13.29,0.62,4.2
NIFTY METAL,27-JAN-2016,13.31,0.62,4.19
NIFTY METAL,28-JAN-2016,13.23,0.62,4.22
NIFTY METAL,29-JAN-2016,13.37,0.62,4.17
NIFTY METAL,01-FEB-2016,12.84,0.63,4.16
NIFTY METAL,02-FEB-2016,18.05,0.6,4.37
NIFTY METAL,03-FEB-2016,17.59,0.58,4.49
NIFTY METAL,04-FEB-2016,18.15,0.6,4.37
NIFTY METAL,05-FEB-2016,18.83,0.62,4.21
NIFTY METAL,08-FEB-2016,18.67,0.61,4.25
NIFTY METAL,09-FEB-2016,18.32,0.6,4.33
NIFTY METAL,10-FEB-2016,22.08,0.6,4.35
NIFTY METAL,11-FEB-2016,21.11,0.57,4.55
NIFTY METAL,12-FEB-2016,20.78,0.56,4.63
NIFTY METAL,15-FEB-2016,24.94,0.62,4.21
NIFTY METAL,16-FEB-2016,24.46,0.61,4.29
NIFTY METAL,17-FEB-2016,24.71,0.61,4.25
NIFTY METAL,18-FEB-2016,27.95,0.62,4.21
NIFTY METAL,19-FEB-2016,27.1,0.62,4.19
NIFTY METAL,22-FEB-2016,27.27,0.63,4.16
NIFTY METAL,23-FEB-2016,26.96,0.62,4.21
NIFTY METAL,24-FEB-2016,26.14,0.6,4.34
NIFTY METAL,25-FEB-2016,26.18,0.6,4.33
NIFTY METAL,26-FEB-2016,30.02,0.61,4.28
NIFTY METAL,29-FEB-2016,30.1,0.61,4.27
NIFTY METAL,01-MAR-2016,30.92,0.63,4.15
NIFTY METAL,02-MAR-2016,31.57,0.64,4.07
NIFTY METAL,03-MAR-2016,33.09,0.67,3.88
NIFTY METAL,04-MAR-2016,33.68,0.69,3.81
NIFTY METAL,08-MAR-2016,34.48,0.7,3.73
NIFTY METAL,09-MAR-2016,34.17,0.7,3.76
NIFTY METAL,10-MAR-2016,34.43,0.7,3.73
NIFTY METAL,11-MAR-2016,34.21,0.7,3.75
NIFTY METAL,14-MAR-2016,33.97,0.69,3.78
NIFTY METAL,15-MAR-2016,34.08,0.69,3.77
NIFTY METAL,16-MAR-2016,33.76,0.69,3.8
NIFTY METAL,17-MAR-2016,33.75,0.69,3.81
NIFTY METAL,18-MAR-2016,34.6,0.7,3.71
NIFTY METAL,21-MAR-2016,34.73,0.71,3.7
NIFTY METAL,22-MAR-2016,35.17,0.72,3.65
NIFTY METAL,23-MAR-2016,35.9,0.73,3.58
NIFTY METAL,28-MAR-2016,34.14,0.69,3.76
NIFTY METAL,29-MAR-2016,34.28,0.7,3.75
NIFTY METAL,30-MAR-2016,35.5,0.72,3.62
NIFTY METAL,31-MAR-2016,35.24,0.72,3.64
NIFTY METAL,01-APR-2016,27.53,0.77,3.77
NIFTY METAL,01-APR-2016,27.53,0.77,3.77
NIFTY METAL,04-APR-2016,27.69,0.78,3.74
NIFTY METAL,05-APR-2016,26.96,0.76,3.84
NIFTY METAL,06-APR-2016,27.52,0.77,3.77
NIFTY METAL,07-APR-2016,27.33,0.77,3.79
NIFTY METAL,08-APR-2016,27.42,0.77,3.78
NIFTY METAL,11-APR-2016,27.97,0.79,3.71
NIFTY METAL,12-APR-2016,27.67,0.78,3.75
NIFTY METAL,13-APR-2016,28.31,0.8,3.66
NIFTY METAL,18-APR-2016,28.59,0.8,3.63
NIFTY METAL,20-APR-2016,30.05,0.84,3.48
NIFTY METAL,21-APR-2016,30.07,0.84,3.48
NIFTY METAL,22-APR-2016,29.96,0.83,3.49
NIFTY METAL,25-APR-2016,29.58,0.82,3.54
NIFTY METAL,26-APR-2016,30.25,0.84,3.46
NIFTY METAL,27-APR-2016,30.22,0.84,3.46
NIFTY METAL,28-APR-2016,29.52,0.82,3.55
NIFTY METAL,29-APR-2016,31.29,0.86,3.59
NIFTY METAL,02-MAY-2016,23.24,0.87,3.56
NIFTY METAL,03-MAY-2016,22.97,0.86,3.6
NIFTY METAL,04-MAY-2016,22.1,0.83,3.74
NIFTY METAL,05-MAY-2016,22.14,0.83,3.73
NIFTY METAL,06-MAY-2016,22.12,0.83,3.74
NIFTY METAL,09-MAY-2016,22.22,0.83,3.72
NIFTY METAL,10-MAY-2016,21.78,0.82,3.77
NIFTY METAL,11-MAY-2016,21.76,0.82,3.77
NIFTY METAL,12-MAY-2016,21.94,0.83,3.74
NIFTY METAL,13-MAY-2016,21.45,0.81,3.83
NIFTY METAL,16-MAY-2016,21.62,0.82,3.79
NIFTY METAL,17-MAY-2016,21.61,0.82,3.8
NIFTY METAL,18-MAY-2016,21.76,0.82,3.77
NIFTY METAL,19-MAY-2016,21.42,0.81,3.83
NIFTY METAL,20-MAY-2016,21.33,0.81,3.85
NIFTY METAL,23-MAY-2016,21.21,0.8,3.87
NIFTY METAL,24-MAY-2016,21.08,0.8,3.87
NIFTY METAL,25-MAY-2016,21.33,0.81,3.82
NIFTY METAL,26-MAY-2016,21.54,0.82,3.78
NIFTY METAL,27-MAY-2016,22.33,0.82,3.69
NIFTY METAL,30-MAY-2016,21.38,0.84,3.62
NIFTY METAL,31-MAY-2016,21.08,0.85,3.57
NIFTY METAL,01-JUN-2016,21.45,0.84,3.61
NIFTY METAL,02-JUN-2016,21.85,0.86,3.54
NIFTY METAL,03-JUN-2016,21.8,0.85,3.55
NIFTY METAL,06-JUN-2016,21.83,0.85,3.54
NIFTY METAL,07-JUN-2016,22.13,0.87,3.49
NIFTY METAL,08-JUN-2016,22.18,0.87,3.49
NIFTY METAL,09-JUN-2016,22.49,0.88,3.44
NIFTY METAL,10-JUN-2016,22.51,0.87,3.38
NIFTY METAL,13-JUN-2016,22.22,0.86,3.42
NIFTY METAL,14-JUN-2016,22.38,0.87,3.39
NIFTY METAL,15-JUN-2016,22.56,0.87,3.37
NIFTY METAL,16-JUN-2016,22.71,0.88,3.35
NIFTY METAL,17-JUN-2016,22.69,0.88,3.89
NIFTY METAL,20-JUN-2016,23.06,0.89,3.83
NIFTY METAL,21-JUN-2016,23.03,0.89,3.83
NIFTY METAL,22-JUN-2016,23.01,0.89,3.83
NIFTY METAL,23-JUN-2016,23.09,0.89,3.82
NIFTY METAL,24-JUN-2016,22.22,0.86,3.97
NIFTY METAL,27-JUN-2016,22.32,0.87,3.95
NIFTY METAL,28-JUN-2016,22.53,0.87,3.92
NIFTY METAL,29-JUN-2016,22.81,0.88,3.87
NIFTY METAL,30-JUN-2016,23.23,0.9,3.8
NIFTY METAL,01-JUL-2016,23.42,0.91,3.77
NIFTY METAL,04-JUL-2016,23.78,0.92,3.71
NIFTY METAL,05-JUL-2016,23.85,0.92,3.7
NIFTY METAL,07-JUL-2016,23.77,0.92,3.71
NIFTY METAL,08-JUL-2016,23.68,0.92,3.73
NIFTY METAL,11-JUL-2016,24.23,0.94,3.64
NIFTY METAL,12-JUL-2016,25.03,0.97,3.52
NIFTY METAL,13-JUL-2016,25.45,0.99,3.47
NIFTY METAL,14-JUL-2016,27.79,0.99,3.45
NIFTY METAL,15-JUL-2016,28.02,1,3.43
NIFTY METAL,18-JUL-2016,27.67,0.99,3.47
NIFTY METAL,19-JUL-2016,27.8,0.99,3.45
NIFTY METAL,20-JUL-2016,27.88,0.99,3.44
NIFTY METAL,21-JUL-2016,27.66,0.99,3.47
NIFTY METAL,22-JUL-2016,28.13,1,3.41
NIFTY METAL,25-JUL-2016,28.29,1.01,3.39
NIFTY METAL,26-JUL-2016,28.26,1.01,3.4
NIFTY METAL,27-JUL-2016,28.52,1.03,3.34
NIFTY METAL,28-JUL-2016,28.27,1.02,3.37
NIFTY METAL,29-JUL-2016,28.06,1.02,3.39
NIFTY METAL,01-AUG-2016,28.48,1.03,3.34
NIFTY METAL,02-AUG-2016,27.93,1.01,3.41
NIFTY METAL,03-AUG-2016,27.93,1.01,3.41
NIFTY METAL,04-AUG-2016,28.4,1.03,3.35
NIFTY METAL,05-AUG-2016,29.16,1.06,3.26
NIFTY METAL,08-AUG-2016,29.33,1.06,3.24
NIFTY METAL,09-AUG-2016,29.08,1.05,3.27
NIFTY METAL,10-AUG-2016,28.89,1.05,3.29
NIFTY METAL,11-AUG-2016,28.66,1.04,3.32
NIFTY METAL,12-AUG-2016,29.08,1.04,3.27
NIFTY METAL,16-AUG-2016,29.54,1.05,3.22
NIFTY METAL,17-AUG-2016,30.12,1.07,3.16
NIFTY METAL,18-AUG-2016,30.06,1.07,3.17
NIFTY METAL,19-AUG-2016,30.46,1.08,3.12
NIFTY METAL,22-AUG-2016,30.22,1.08,3.15
NIFTY METAL,23-AUG-2016,30.09,1.07,3.16
NIFTY METAL,24-AUG-2016,30.07,1.07,3.16
NIFTY METAL,25-AUG-2016,29.58,1.05,3.22
NIFTY METAL,26-AUG-2016,27.03,1.07,3.31
NIFTY METAL,29-AUG-2016,27.32,1.08,3.28
NIFTY METAL,30-AUG-2016,27.61,1.09,3.24
NIFTY METAL,31-AUG-2016,27.18,1.07,3.29
NIFTY METAL,01-SEP-2016,27.27,1.08,3.28
NIFTY METAL,02-SEP-2016,27.23,1.07,3.29
NIFTY METAL,06-SEP-2016,27.61,1.09,3.24
NIFTY METAL,07-SEP-2016,27.88,1.1,3.21
NIFTY METAL,08-SEP-2016,28.17,1.11,3.18
NIFTY METAL,09-SEP-2016,27.61,1.1,3.24
NIFTY METAL,12-SEP-2016,26.33,1.05,3.4
NIFTY METAL,14-SEP-2016,26.44,1.06,3.39
NIFTY METAL,15-SEP-2016,26.37,1.05,3.4
NIFTY METAL,16-SEP-2016,25.96,1.04,3.88
NIFTY METAL,19-SEP-2016,26.32,1.05,3.83
NIFTY METAL,20-SEP-2016,26.42,1.06,3.81
NIFTY METAL,21-SEP-2016,26.63,1.06,3.79
NIFTY METAL,22-SEP-2016,27.58,1.08,3.74
NIFTY METAL,23-SEP-2016,25.26,1.08,3.74
NIFTY METAL,26-SEP-2016,25.23,1.08,3.74
NIFTY METAL,27-SEP-2016,25.07,1.07,3.77
NIFTY METAL,28-SEP-2016,25.62,1.09,3.69
NIFTY METAL,29-SEP-2016,24.59,1.05,3.82
NIFTY METAL,30-SEP-2016,25.79,1.06,3.76
NIFTY METAL,03-OCT-2016,26.69,1.09,3.66
NIFTY METAL,04-OCT-2016,29.61,1.1,3.62
NIFTY METAL,05-OCT-2016,29.86,1.11,3.6
NIFTY METAL,06-OCT-2016,29.9,1.11,3.59
NIFTY METAL,07-OCT-2016,30.2,1.13,3.55
NIFTY METAL,10-OCT-2016,30.7,1.15,3.49
NIFTY METAL,13-OCT-2016,30.08,1.13,3.56
NIFTY METAL,14-OCT-2016,29.94,1.12,3.58
NIFTY METAL,17-OCT-2016,29.59,1.11,3.62
NIFTY METAL,18-OCT-2016,30.22,1.13,3.55
NIFTY METAL,19-OCT-2016,30.29,1.14,3.54
NIFTY METAL,20-OCT-2016,30.73,1.15,3.49
NIFTY METAL,21-OCT-2016,30.5,1.14,3.52
NIFTY METAL,24-OCT-2016,30.53,1.14,3.52
NIFTY METAL,25-OCT-2016,30.42,1.14,3.53
NIFTY METAL,26-OCT-2016,29.97,1.12,3.58
NIFTY METAL,27-OCT-2016,29.72,1.11,3.61
NIFTY METAL,28-OCT-2016,30.39,1.14,3.53
NIFTY METAL,30-OCT-2016,30.42,1.14,3.53
NIFTY METAL,01-NOV-2016,31.55,1.18,3.4
NIFTY METAL,02-NOV-2016,31.28,1.17,3.43
NIFTY METAL,03-NOV-2016,31.06,1.16,3.46
NIFTY METAL,04-NOV-2016,30.45,1.14,3.54
NIFTY METAL,07-NOV-2016,31.06,1.16,3.47
NIFTY METAL,08-NOV-2016,31.9,1.17,3.45
NIFTY METAL,09-NOV-2016,31.47,1.15,3.51
NIFTY METAL,10-NOV-2016,32.13,1.22,3.3
NIFTY METAL,11-NOV-2016,31.45,1.2,3.37
NIFTY METAL,15-NOV-2016,29.86,1.13,3.55
NIFTY METAL,16-NOV-2016,43.88,1.13,3.58
NIFTY METAL,17-NOV-2016,44.14,1.13,3.56
NIFTY METAL,18-NOV-2016,43.54,1.12,3.61
NIFTY METAL,21-NOV-2016,42.05,1.08,3.74
NIFTY METAL,22-NOV-2016,43.29,1.11,3.63
NIFTY METAL,23-NOV-2016,44.4,1.14,3.54
NIFTY METAL,24-NOV-2016,44.96,1.15,3.5
NIFTY METAL,25-NOV-2016,42.63,1.2,3.57
NIFTY METAL,28-NOV-2016,43.05,1.21,3.53
NIFTY METAL,29-NOV-2016,42.95,1.21,3.54
NIFTY METAL,30-NOV-2016,40.93,1.22,3.52
NIFTY METAL,01-DEC-2016,40.19,1.19,3.58
NIFTY METAL,02-DEC-2016,39.98,1.18,3.62
NIFTY METAL,05-DEC-2016,40.58,1.2,3.57
NIFTY METAL,06-DEC-2016,40.89,1.21,3.54
NIFTY METAL,07-DEC-2016,40.99,1.21,3.53
NIFTY METAL,08-DEC-2016,42.18,1.25,3.43
NIFTY METAL,09-DEC-2016,42.13,1.24,3.44
NIFTY METAL,12-DEC-2016,42.06,1.24,3.44
NIFTY METAL,13-DEC-2016,41.61,1.23,3.48
NIFTY METAL,14-DEC-2016,40.99,1.21,3.53
NIFTY METAL,15-DEC-2016,41,1.21,3.53
NIFTY METAL,16-DEC-2016,41.43,1.19,3.59
NIFTY METAL,19-DEC-2016,42.2,1.18,3.62
NIFTY METAL,20-DEC-2016,41.85,1.17,3.65
NIFTY METAL,21-DEC-2016,42.07,1.18,3.64
NIFTY METAL,22-DEC-2016,41.1,1.14,3.74
NIFTY METAL,23-DEC-2016,40.98,1.14,3.75
NIFTY METAL,26-DEC-2016,39.75,1.11,3.87
NIFTY METAL,27-DEC-2016,40.77,1.13,3.77
NIFTY METAL,28-DEC-2016,40.71,1.13,3.78
NIFTY METAL,29-DEC-2016,41.33,1.15,3.72
NIFTY METAL,30-DEC-2016,38.44,1.14,3.96
