Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY MIDCAP 50,01-JAN-2016,22.21,1.35,2.19
NIFTY MIDCAP 50,04-JAN-2016,21.91,1.33,2.22
NIFTY MIDCAP 50,04-JAN-2016,21.91,1.33,2.22
NIFTY MIDCAP 50,05-JAN-2016,22.16,1.35,2.19
NIFTY MIDCAP 50,06-JAN-2016,22.04,1.34,2.21
NIFTY MIDCAP 50,07-JAN-2016,21.21,1.29,2.29
NIFTY MIDCAP 50,08-JAN-2016,21.5,1.31,2.26
NIFTY MIDCAP 50,11-JAN-2016,21.48,1.31,2.27
NIFTY MIDCAP 50,12-JAN-2016,21.22,1.29,2.3
NIFTY MIDCAP 50,13-JAN-2016,20.86,1.27,2.34
NIFTY MIDCAP 50,14-JAN-2016,20.49,1.25,2.38
NIFTY MIDCAP 50,15-JAN-2016,19.58,1.19,2.49
NIFTY MIDCAP 50,18-JAN-2016,18.98,1.15,2.57
NIFTY MIDCAP 50,19-JAN-2016,19.36,1.18,2.52
NIFTY MIDCAP 50,20-JAN-2016,18.84,1.15,2.59
NIFTY MIDCAP 50,21-JAN-2016,18.95,1.15,2.58
NIFTY MIDCAP 50,22-JAN-2016,19.53,1.19,2.5
NIFTY MIDCAP 50,25-JAN-2016,19.5,1.19,2.49
NIFTY MIDCAP 50,27-JAN-2016,19.6,1.2,2.47
NIFTY MIDCAP 50,28-JAN-2016,19.38,1.2,2.48
NIFTY MIDCAP 50,29-JAN-2016,19.57,1.21,2.45
NIFTY MIDCAP 50,01-FEB-2016,19.44,1.21,2.46
NIFTY MIDCAP 50,02-FEB-2016,19.03,1.19,2.49
NIFTY MIDCAP 50,03-FEB-2016,18.54,1.16,2.56
NIFTY MIDCAP 50,04-FEB-2016,18.38,1.15,2.58
NIFTY MIDCAP 50,05-FEB-2016,18.89,1.18,2.51
NIFTY MIDCAP 50,08-FEB-2016,18.94,1.18,2.52
NIFTY MIDCAP 50,09-FEB-2016,18.55,1.15,2.57
NIFTY MIDCAP 50,10-FEB-2016,19.38,1.14,2.6
NIFTY MIDCAP 50,11-FEB-2016,18.27,1.08,2.76
NIFTY MIDCAP 50,12-FEB-2016,18.02,1.06,2.79
NIFTY MIDCAP 50,15-FEB-2016,24.26,1.11,2.67
NIFTY MIDCAP 50,16-FEB-2016,23.4,1.08,2.75
NIFTY MIDCAP 50,17-FEB-2016,23.61,1.09,2.73
NIFTY MIDCAP 50,18-FEB-2016,23.65,1.09,2.71
NIFTY MIDCAP 50,19-FEB-2016,23.51,1.1,2.7
NIFTY MIDCAP 50,22-FEB-2016,23.64,1.1,2.69
NIFTY MIDCAP 50,23-FEB-2016,23.29,1.09,2.73
NIFTY MIDCAP 50,24-FEB-2016,23.11,1.08,2.75
NIFTY MIDCAP 50,25-FEB-2016,22.67,1.06,2.8
NIFTY MIDCAP 50,26-FEB-2016,22.78,1.06,2.8
NIFTY MIDCAP 50,29-FEB-2016,22.83,1.07,2.8
NIFTY MIDCAP 50,01-MAR-2016,23.67,1.11,2.7
NIFTY MIDCAP 50,02-MAR-2016,24.38,1.14,2.62
NIFTY MIDCAP 50,03-MAR-2016,24.72,1.16,2.58
NIFTY MIDCAP 50,04-MAR-2016,25.05,1.17,2.55
NIFTY MIDCAP 50,08-MAR-2016,25.11,1.17,2.54
NIFTY MIDCAP 50,09-MAR-2016,25.39,1.19,2.51
NIFTY MIDCAP 50,10-MAR-2016,25.22,1.18,2.53
NIFTY MIDCAP 50,11-MAR-2016,25.25,1.18,2.53
NIFTY MIDCAP 50,14-MAR-2016,25.31,1.18,2.52
NIFTY MIDCAP 50,15-MAR-2016,25.24,1.18,2.53
NIFTY MIDCAP 50,16-MAR-2016,25.15,1.18,2.54
NIFTY MIDCAP 50,17-MAR-2016,25.2,1.18,2.53
NIFTY MIDCAP 50,18-MAR-2016,25.55,1.19,2.5
NIFTY MIDCAP 50,21-MAR-2016,26.02,1.22,2.45
NIFTY MIDCAP 50,22-MAR-2016,26.23,1.23,2.43
NIFTY MIDCAP 50,23-MAR-2016,26.3,1.23,2.43
NIFTY MIDCAP 50,28-MAR-2016,25.9,1.21,2.46
NIFTY MIDCAP 50,29-MAR-2016,25.87,1.21,2.47
NIFTY MIDCAP 50,30-MAR-2016,26.47,1.24,2.41
NIFTY MIDCAP 50,31-MAR-2016,26.86,1.26,2.38
NIFTY MIDCAP 50,01-APR-2016,27.42,1.53,1.72
NIFTY MIDCAP 50,01-APR-2016,27.42,1.53,1.72
NIFTY MIDCAP 50,04-APR-2016,27.43,1.53,1.72
