Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY NEXT 50,02-JAN-2023,25.67,4.79,1.76
NIFTY NEXT 50,03-JAN-2023,25.78,4.81,1.76
NIFTY NEXT 50,04-JAN-2023,25.43,4.75,1.78
NIFTY NEXT 50,05-JAN-2023,25.61,4.78,1.77
NIFTY NEXT 50,06-JAN-2023,25.42,4.75,1.78
NIFTY NEXT 50,09-JAN-2023,25.63,4.78,1.77
NIFTY NEXT 50,10-JAN-2023,25.53,4.77,1.77
NIFTY NEXT 50,11-JAN-2023,25.45,4.75,1.78
NIFTY NEXT 50,12-JAN-2023,25.5,4.76,1.78
NIFTY NEXT 50,13-JAN-2023,25.61,4.78,1.77
NIFTY NEXT 50,16-JAN-2023,25.59,4.78,1.77
NIFTY NEXT 50,17-JAN-2023,25.61,4.78,1.76
NIFTY NEXT 50,18-JAN-2023,25.61,4.78,1.76
NIFTY NEXT 50,19-JAN-2023,25.53,4.77,1.77
NIFTY NEXT 50,20-JAN-2023,25.44,4.75,1.77
NIFTY NEXT 50,23-JAN-2023,25.54,4.76,1.77
NIFTY NEXT 50,24-JAN-2023,25.48,4.74,1.77
NIFTY NEXT 50,25-JAN-2023,25.24,4.62,1.82
NIFTY NEXT 50,27-JAN-2023,24.27,4.45,1.89
NIFTY NEXT 50,30-JAN-2023,24.37,4.4,1.92
NIFTY NEXT 50,31-JAN-2023,25.4,4.44,1.92
NIFTY NEXT 50,01-FEB-2023,24.99,4.37,1.95
NIFTY NEXT 50,02-FEB-2023,25.81,4.36,1.95
NIFTY NEXT 50,03-FEB-2023,25.77,4.35,2.09
NIFTY NEXT 50,06-FEB-2023,25.92,4.38,2.05
NIFTY NEXT 50,07-FEB-2023,25.07,4.37,2.05
NIFTY NEXT 50,08-FEB-2023,25.3,4.41,2.03
NIFTY NEXT 50,09-FEB-2023,25.17,4.39,1.93
NIFTY NEXT 50,10-FEB-2023,25.14,4.38,1.95
NIFTY NEXT 50,13-FEB-2023,24.77,4.32,1.98
NIFTY NEXT 50,14-FEB-2023,26.46,4.31,1.98
NIFTY NEXT 50,15-FEB-2023,26.65,4.34,1.96
NIFTY NEXT 50,16-FEB-2023,26.8,4.38,1.95
NIFTY NEXT 50,17-FEB-2023,26.64,4.35,1.94
NIFTY NEXT 50,20-FEB-2023,26.53,4.34,1.95
NIFTY NEXT 50,21-FEB-2023,26.48,4.33,1.95
NIFTY NEXT 50,22-FEB-2023,26.09,4.26,2.01
NIFTY NEXT 50,23-FEB-2023,25.98,4.25,2.01
NIFTY NEXT 50,24-FEB-2023,25.96,4.24,2.02
NIFTY NEXT 50,27-FEB-2023,25.71,4.2,2.04
NIFTY NEXT 50,28-FEB-2023,25.78,4.21,2.03
NIFTY NEXT 50,01-MAR-2023,26.08,4.26,2.01
NIFTY NEXT 50,02-MAR-2023,26.07,4.26,2.01
NIFTY NEXT 50,03-MAR-2023,26.3,4.3,1.99
NIFTY NEXT 50,06-MAR-2023,26.51,4.33,1.98
NIFTY NEXT 50,08-MAR-2023,26.61,4.35,1.99
NIFTY NEXT 50,09-MAR-2023,26.42,4.32,1.87
NIFTY NEXT 50,10-MAR-2023,26.36,4.31,1.87
NIFTY NEXT 50,13-MAR-2023,26.02,4.25,1.9
NIFTY NEXT 50,14-MAR-2023,25.87,4.23,1.91
NIFTY NEXT 50,15-MAR-2023,25.85,4.23,1.91
NIFTY NEXT 50,16-MAR-2023,26.01,4.25,1.9
NIFTY NEXT 50,17-MAR-2023,26.15,4.27,1.89
NIFTY NEXT 50,20-MAR-2023,25.96,4.24,1.92
NIFTY NEXT 50,21-MAR-2023,26.08,4.26,1.92
NIFTY NEXT 50,22-MAR-2023,26.25,4.29,1.91
NIFTY NEXT 50,23-MAR-2023,26.15,4.27,1.92
NIFTY NEXT 50,24-MAR-2023,25.94,4.24,1.94
NIFTY NEXT 50,27-MAR-2023,25.81,4.22,1.95
NIFTY NEXT 50,28-MAR-2023,25.57,4.18,1.97
NIFTY NEXT 50,29-MAR-2023,25.77,4.21,1.96
NIFTY NEXT 50,31-MAR-2023,25.7,3.71,1.86
NIFTY NEXT 50,03-APR-2023,25.76,3.72,1.86
NIFTY NEXT 50,05-APR-2023,25.9,3.74,1.8
NIFTY NEXT 50,06-APR-2023,25.91,3.74,2.02
NIFTY NEXT 50,10-APR-2023,25.98,3.75,2.01
NIFTY NEXT 50,11-APR-2023,26.04,3.76,2.01
NIFTY NEXT 50,12-APR-2023,26.16,3.77,2
