Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY SMALLCAP 50,01-APR-2016,24.93,1.2,1.29
NIFTY SMALLCAP 50,01-APR-2016,27.61,0.99,1.52
NIFTY SMALLCAP 50,04-APR-2016,27.76,0.99,1.51
NIFTY SMALLCAP 50,05-APR-2016,27.12,0.97,1.55
NIFTY SMALLCAP 50,06-APR-2016,27.43,0.98,1.53
NIFTY SMALLCAP 50,07-APR-2016,27.31,0.98,1.54
NIFTY SMALLCAP 50,08-APR-2016,27.57,0.99,1.52
NIFTY SMALLCAP 50,11-APR-2016,27.87,1,1.51
NIFTY SMALLCAP 50,12-APR-2016,28.21,1.01,1.49
NIFTY SMALLCAP 50,13-APR-2016,28.52,1.02,1.47
NIFTY SMALLCAP 50,18-APR-2016,28.92,1.03,1.45
NIFTY SMALLCAP 50,20-APR-2016,29.64,1.04,1.44
NIFTY SMALLCAP 50,21-APR-2016,29.52,1.04,1.44
NIFTY SMALLCAP 50,22-APR-2016,29.03,1.04,1.44
NIFTY SMALLCAP 50,25-APR-2016,28.83,1.03,1.45
NIFTY SMALLCAP 50,26-APR-2016,28.99,1.04,1.45
NIFTY SMALLCAP 50,27-APR-2016,29.15,1.04,1.44
NIFTY SMALLCAP 50,28-APR-2016,28.92,1.04,1.45
NIFTY SMALLCAP 50,29-APR-2016,28.88,1.03,1.46
NIFTY SMALLCAP 50,02-MAY-2016,28.84,1.03,1.45
NIFTY SMALLCAP 50,03-MAY-2016,28.76,1.03,1.46
NIFTY SMALLCAP 50,04-MAY-2016,28.25,1.01,1.48
NIFTY SMALLCAP 50,05-MAY-2016,28.29,1.02,1.48
NIFTY SMALLCAP 50,06-MAY-2016,28.47,1.02,1.47
NIFTY SMALLCAP 50,09-MAY-2016,28.94,1.04,1.45
NIFTY SMALLCAP 50,10-MAY-2016,28.95,1.04,1.45
NIFTY SMALLCAP 50,11-MAY-2016,29.43,1.04,1.45
NIFTY SMALLCAP 50,12-MAY-2016,29.73,1.05,1.44
NIFTY SMALLCAP 50,13-MAY-2016,29.4,1.04,1.44
NIFTY SMALLCAP 50,16-MAY-2016,29.02,1.04,1.44
NIFTY SMALLCAP 50,17-MAY-2016,28.23,1.05,1.43
NIFTY SMALLCAP 50,18-MAY-2016,27.14,1.05,1.43
NIFTY SMALLCAP 50,19-MAY-2016,28.04,1.04,1.44
NIFTY SMALLCAP 50,20-MAY-2016,27.74,1.03,1.44
NIFTY SMALLCAP 50,23-MAY-2016,27.68,1.02,1.46
NIFTY SMALLCAP 50,24-MAY-2016,27.56,1.01,1.46
NIFTY SMALLCAP 50,25-MAY-2016,27.86,1.02,1.45
